Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
leaf umbrella,True,,300,Green,Green,1x1,,Crafting,,1.0.0,True,UmbrellaLeaf0,6840,ZpYcNAofgCtnPfLj5,False
lemon umbrella,False,770,192,Yellow,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham4,9954,yKb3LfnWDwptRPAWK,True
logo umbrella,False,650,162,Blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaLogo0,7172,sFtYCcv9wy78ujaZr,True
maple-leaf umbrella,True,,2800,Orange,Orange,1x1,,Crafting,,1.0.0,True,UmbrellaAutumn0,7169,b5gL4xdKJPZPjhYZM,False
melon umbrella,False,770,192,Green,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham1,9951,oFFjNfN2G5BxasAem,True
mini-flower-print umbrella,False,750,187,Pink,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaFlorets0,6914,G9dRhHQxBzYJB5mmE,True
mint umbrella,False,770,192,Brown,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham2,9952,F6fPRcpqGqhQ5oq7F,True
mush umbrella,True,,1200,Brown,Beige,1x1,,Crafting,,1.0.0,True,UmbrellaMushroom0,7174,LLSQNPiMBWXXdTYFo,False
Nook Inc. umbrella,False,,3500,Green,White,1x1,700,Nook Miles Shop,,1.0.0,True,UmbrellaRco0,9561,GX9s8tDymkHYHztY3,False
orange umbrella,True,,1400,Orange,Yellow,1x1,,Crafting,,1.0.0,True,UmbrellaOrange0,6912,ovb5ZxHTXJtBWQQxF,False
panda umbrella,False,1570,392,White,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPanda0,7170,AJkrWywbkBfFpke5b,True
paper parasol,False,870,217,Brown,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBangasa0,7178,Brvfu2wmEsgfpsfe6,True
patterned vinyl umbrella,False,750,187,White,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBoundary0,6918,KzFYhiwG4WmgGuewi,True
peach umbrella,True,,1400,Pink,Green,1x1,,Crafting,,1.0.0,True,UmbrellaPeach0,9947,e7KPGj99m2g9dvYfe,False
pear umbrella,True,,1400,Yellow,Green,1x1,,Crafting,,1.0.0,True,UmbrellaPear0,9950,2kKFs5wG5ioHGbGda,False
petal parasol,False,1590,397,White,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaMargaret0,7181,5qqATjxvMpMHmcDns,True
picnic umbrella,False,770,192,Purple,Pink,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham3,9953,hvv9Bz2ey3iRvSnAL,True
pineapple umbrella,False,1550,387,Yellow,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPineapple0,6910,ohMyh5kSBGg8Zayyh,True
pink shiny-bows parasol,False,1620,405,Pink,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace0,7176,PTvmPPNiXMZ4jhBKX,True
pink umbrella,False,770,192,Pink,Pink,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaSchool0,7164,Cg8DXnxz3AtYJvdPE,True
purple chic umbrella,False,1620,405,Purple,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacoda0,7183,2dXt6F6XwMf346Zbv,True
purple shiny-bows parasol,False,1620,405,Purple,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace1,12133,J6FrqXxBPqGNBs4sC,True
rainbow umbrella,False,840,210,Colorful,Colorful,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaRainbow0,7179,P9bMZJY3n2dtooq5X,True
raindrop umbrella,False,750,187,Yellow,Light blue,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaRain0,6913,Djdj6KiSLh82BHzqB,True
red chic umbrella,False,1620,405,Red,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace6,12138,kKoJtAcxMDNKq7tNu,True
red umbrella,False,770,192,Red,Red,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStandard1,9958,Z9yCA3wawXdQsbLSs,True
snowflake umbrella,False,1550,387,Light blue,Light blue,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaCrystal0,6905,r5RwHucDKWJPg7dkv,True
spider umbrella,False,840,210,Black,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaSpider0,7173,aaQhimbednGniK4NF,True
strawberry umbrella,False,1550,387,Pink,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaStrawberry0,6907,kKQHooYToACDqoqBm,True
striped umbrella,False,750,187,Gray,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStripe0,6916,hF2THDnHbEJWTDT8L,True
sunny parasol,False,750,187,Yellow,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaSunflower0,6904,thr45xserbQqAm6o4,True
tartan-check umbrella,False,750,187,Red,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPlaid0,6917,HjZzRQKbMdXBKYawe,True
Toad parasol,False,750,187,Red,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPolkadotRed,5861,HnmPeaovKNwg7ZuBL,True
two-tone umbrella,False,770,192,Red,Yellow,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaTwocolor0,7166,Da4xWXq9D2RFLnyYj,True
vinyl umbrella,False,770,192,White,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaVinyl0,7165,q4Eo8vxPLFCL4ppac,True
watermelon umbrella,False,1550,387,Red,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaWater0,6909,JTchAPvto4vHBJANw,True
white shiny-bows parasol,False,1620,405,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace3,12135,4btSNLBHRoocAXfgE,True
