Name,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Filename,Internal ID,Unique Entry ID,Purchasable
garbage-heap flooring,False,True,NFS,120,White,White,,Crafting,,1.0.0,horror,garage,None,Decadence,RoomTexFloorGarbage00,5236,iY9f7H5NjXBxxB6HQ,False
giraffe-print flooring,False,False,1300,325,Beige,Beige,,Nook's Cranny,,1.0.0,party,fancy,None,Animal Floor,RoomTexFloorAnimal01,4961,umJmHnuMQRMEeXB7Y,True
gold iron-parquet flooring,False,False,2350,587,Beige,Beige,,Nook's Cranny,,1.0.0,expensive,living room,None,Iron Parquet,RoomTexFloorParquetIron00,5064,R7g62hAfWLaJ2muuy,True
golden flooring,False,True,NFS,40000,Yellow,Yellow,,Crafting,,1.0.0,expensive,horror,golden,Luxury,RoomTexFloorGold00,5021,YrHA4R4RmkJLeYvJy,False
gravel flooring,False,False,3000,750,Gray,Gray,,Saharah,,1.0.0,garden,facility,None,Stone Floors,RoomTexFloorGravel00,4978,9jLaEjCCsiMHGLf9Y,False
gray argyle-tile flooring,False,False,1440,360,Gray,White,,Nook's Cranny,,1.0.0,expensive,facility,None,Argyle,RoomTexFloorArgyleTile00,5080,L5HHMxTjeAv2hLukh,True
gray vinyl flooring,False,False,1150,287,Gray,White,,Nook's Cranny,,1.0.0,expensive,None,None,Tile Checker,RoomTexFloorTileChecker00,5046,hazZe9YtvTt7T8WJD,True
green floral flooring,False,False,1520,380,Green,Green,,Nook's Cranny,,1.0.0,shop,living room,None,Deco Wood,RoomTexFloorDecoWood03,6847,AaKjHGFteG5h2GBQn,True
green honeycomb tile,False,False,1420,355,Green,Green,,Nook's Cranny,,1.0.0,bathroom,facility,None,Honeycomb,RoomTexFloorHoneycomb02,5041,3T2nKNCHMxxQXkucQ,True
green retro flooring,False,False,1540,385,Green,Green,,Nook's Cranny,,1.0.0,kitchen,shop,None,Kitchen Floors,RoomTexFloorKitchen01,5045,RRFkhjtia4ayJy2cH,True
green rubber flooring,False,False,850,212,Green,Green,,Nook's Cranny,,1.0.0,fitness,school,None,Rubber,RoomTexFloorRubber00,4952,raqdEHfoLLbgfxpcR,True
green vinyl flooring,False,False,1150,287,Green,White,,Nook's Cranny,,1.0.0,expensive,None,None,Tile Checker,RoomTexFloorTileChecker02,5048,zBGakmC9vX4Epuduf,True
green wedding flooring,,False,3000,750,None,None,,Wedding Season,,1.2.0,party,expensive,wedding,Tile Floors,RoomTexFloorMarbleTile02,12434,uhmt88jsXSHpkqswZ,False
green-paint flooring,False,False,1040,260,Green,Green,,Nook's Cranny,,1.0.0,fancy,child's room,None,Painted Wood,RoomTexFloorPaintWood01,5058,ZdsDu7KBmtngBLoe4,True
hexagonal floral flooring,False,False,860,215,White,White,,Nook's Cranny,,1.0.0,zen-style,shop,None,Tile Floors,RoomTexFloorHempTile00,4972,6frp588zeZqeDBSvp,True
highway flooring,False,False,3000,750,Gray,Beige,,Saharah,,1.0.0,facility,None,None,Sidewalk,RoomTexFloorHighway00,5237,wrqigm79Kx7xbhPcb,False
honeycomb flooring,False,True,NFS,3000,Yellow,Yellow,,Crafting,,1.0.0,fancy,facility,None,Neta,RoomTexFloorHoney00,4999,Yi7YJpRkuc2DYxypg,False
ice flooring,True,True,NFS,8200,Light blue,Light blue,,Crafting,,1.0.0,freezing cold,facility,frozen,Special Nature Floors,RoomSpFloorIce00,5516,J63DSTu7u4tnwgLfR,False
iceberg flooring,True,True,NFS,4000,White,Light blue,,Crafting,,1.0.0,freezing cold,None,None,Special Nature Floors,RoomSpFloorIceFloe00,5253,7unCfS99xyM3swHCz,False
imperial tile,False,False,3000,750,White,Gray,,Saharah,,1.0.0,expensive,None,None,Luxury,RoomTexFloorDynasty00,5012,n4zrzvMvJmXvpMTCw,False
jointed-mat flooring,False,False,1050,262,Beige,Beige,,Nook's Cranny,,1.0.0,school,child's room,None,Cloth Floors,RoomTexFloorJointMat00,4955,RfPqDKHG6QR5FhwXY,True
jungle flooring,False,True,NFS,2200,Green,Green,,Crafting,,1.0.0,garden,facility,None,Nature - Green,RoomTexFloorJungle00,5515,QrdicpjjuY4mBd37e,False
kitschy tile,False,False,1280,320,Pink,White,,Nook's Cranny,,1.0.0,party,None,None,Tile Floors,RoomTexFloorKitschTile00,5076,uWKchyhWgNxTxDikd,True
lava flooring,True,False,3000,750,Black,Orange,,Saharah,,1.0.0,horror,None,None,Special Inorganic Floors,RoomSpFloorVolcano00,5274,uT9YnwivAEZ938FKB,False
leopard-print flooring,False,False,1300,325,Orange,Brown,,Nook's Cranny,,1.0.0,party,fancy,None,Animal Floor,RoomTexFloorAnimal00,4959,GsWLFhWAiRsNrY2XC,True
light herringbone flooring,False,False,1200,300,Beige,Beige,,Nook's Cranny,,1.0.0,living room,shop,None,Herringbone,RoomTexFloorHerringbone00,5061,GQXNBcZoQRYRyRYGP,True
light parquet flooring,False,False,1560,390,Beige,Brown,,Nook's Cranny,,1.0.0,living room,shop,None,Country,RoomTexFloorCountry00,5022,HqokjwEnZtgcjNSgH,True
light wood-pattern flooring,False,False,1500,375,Beige,Beige,,Nook's Cranny,,1.0.0,living room,shop,None,Simple Parquet,RoomTexFloorSimpleParquet00,4991,osG5BdoAX86kEitnu,True
lobby flooring,False,False,3000,750,Purple,Black,,Saharah,,1.0.0,facility,party,None,Cloth Floors,RoomTexFloorLobby00,5034,nQCnxLKNXAQ7JqtyB,False
lunar surface,False,True,NFS,7500,White,Gray,,Crafting,,1.0.0,space,None,stars,Nature - White,RoomTexFloorLunar00,4968,n8j4WToan9efgnJDM,False
marine pop flooring,False,False,2020,505,Blue,Blue,,Nook's Cranny,,1.0.0,child's room,fancy,None,Cloth Floors,RoomTexFloorFishPop00,5024,yajaXefi94Mx32KAy,True
mint dot flooring,False,False,800,200,Green,Green,,Nook's Cranny,,1.0.0,fancy,child's room,None,Dot,RoomTexFloorDot01,5026,CCEfvKqoZ7TQXWFqM,True
modern wood flooring,False,False,1280,320,Brown,Brown,,Nook's Cranny,,1.0.0,living room,child's room,None,Wood Floors,RoomTexFloorMixwood00,5044,jBLBPkiSgmkL52L5n,True
money flooring,False,True,NFS,25000,White,White,,Crafting,,1.0.0,expensive,None,None,Decadence,RoomTexFloorBill00,4986,M9tBbGtQcTpPWCGeQ,False
monochromatic dot flooring,False,False,800,200,Gray,White,,Nook's Cranny,,1.0.0,fancy,child's room,None,Dot,RoomTexFloorDot00,5023,CJ6ukTuEqDXvFx5kM,True
monochromatic tile flooring,False,False,1620,405,Black,White,,Nook's Cranny,,1.0.0,den,living room,None,Panel,RoomTexFloorPanel00,5067,wyRDyuntjJqsgxEvz,True
mossy-garden flooring,False,False,3000,750,Green,Green,,Saharah,,1.0.0,zen-style,garden,None,Nature - Green,RoomTexFloorMoss00,5234,3KGLDP2eT6i3A7jaw,False
natural-block flooring,False,False,1380,345,Brown,Beige,,Nook's Cranny,,1.0.0,school,None,None,Parquet,RoomTexFloorParquet00,5033,BaHnYrekt2ngfWeCQ,True
Nook Inc. flooring,False,False,NFS,6000,Brown,Brown,1200.0,Nook Miles Shop,,1.0.0,school,shop,None,Wood Floors,RoomTexFloorFirst00,6005,tHvrMW72TDM3ezhRx,False
oasis flooring,True,False,3000,750,Beige,Light blue,,Saharah,,1.0.0,garden,folk art,None,Special Inorganic Floors,RoomSpFloorOasis00,5255,Apr3HrqodwkiBk5ZQ,False
olive desert-tile flooring,False,False,2100,525,Yellow,Brown,,Nook's Cranny,,1.0.0,bathroom,facility,None,Morocco,RoomTexFloorMorocco03,6928,LwaiMzRi8kw2Xw35j,True
orange camo flooring,False,False,1320,330,Orange,Orange,,Nook's Cranny,,1.0.0,party,child's room,None,Camouflage,RoomTexFloorCamouflage03,6845,e2cw6YYcpWZdfH38F,True
orange retro flooring,False,False,1540,385,Orange,Orange,,Nook's Cranny,,1.0.0,kitchen,shop,None,Kitchen Floors,RoomTexFloorKitchen00,5043,GpDHr3gHCZSrK5bfx,True
paintball flooring,False,False,3000,750,White,Colorful,,Saharah,,1.0.0,garage,facility,None,Stone Floors,RoomTexFloorAtelier00,4988,vC2oYRMxbZXYazKYW,False
palace tile,False,False,3000,750,White,White,,Saharah,,1.0.0,expensive,folk art,None,Luxury,RoomTexFloorPalace00,5051,ZBN9trZ7YTDgN5z3Y,False
parking flooring,False,False,3000,750,Black,Gray,,Saharah,,1.0.0,facility,None,None,Sidewalk,RoomTexFloorParking00,4997,Lx2JZuP8F6xS28PPG,False
party flooring,False,False,NFS,370,Colorful,Gray,,Birthday,,1.0.0,party,fancy,None,Decadence,RoomTexFloorParty00,5241,8vy7YrhEnTpt8GjWT,False
pastel puzzle flooring,False,False,1450,362,White,White,,Nook's Cranny,,1.0.0,fancy,child's room,None,Puzzle Mat,RoomTexFloorPuzzleMat00,4956,nGtvPzJvdJb5xmQo8,True
patchwork-tile flooring,False,False,2100,525,White,White,,Nook's Cranny,,1.0.0,expensive,shop,None,Tile Floors,RoomTexFloorPatchworkTile00,4995,hCAe3badxv5faWwGE,True
pine-board flooring,False,False,2500,625,Beige,Beige,,Nook's Cranny,,1.0.0,living room,child's room,None,Wood Floors,RoomTexFloorSimple00,5019,B3GmKqXBaKNeugExA,True
pink-paint flooring,False,False,1040,260,Pink,Pink,,Nook's Cranny,,1.0.0,fancy,child's room,None,Painted Wood,RoomTexFloorPaintWood02,5059,wXCN3tKY2rDen6D6s,True
purple camo flooring,False,False,1320,330,Purple,Purple,,Nook's Cranny,,1.0.0,party,child's room,None,Camouflage,RoomTexFloorCamouflage02,5017,JZ5JuDTqYYu8PQZrJ,True
purple desert-tile flooring,False,False,2100,525,Purple,White,,Nook's Cranny,,1.0.0,bathroom,facility,None,Morocco,RoomTexFloorMorocco02,6927,4e7h4ZuzEKJb5ua3v,True
purple puzzle flooring,False,False,1450,362,Purple,Colorful,,Nook's Cranny,,1.0.0,fancy,None,None,Puzzle Mat,RoomTexFloorPuzzleMat03,7185,xi7QC9EcD34PNSdzt,True
pyramid tile,False,False,3000,750,Beige,Beige,,Saharah,,1.0.0,folk art,None,None,Luxury,RoomTexFloorEgypt00,5054,kcHqZKGAjAwFcQxNg,False
racetrack flooring,False,False,3000,750,Green,Green,,Saharah,,1.0.0,fitness,school,None,Sports Floor,RoomTexFloorAthletics00,4996,QDiAF633q7ohZqqTK,False
ramshackle flooring,False,False,3000,750,Beige,Beige,,Saharah,,1.0.0,horror,None,None,Decadence,RoomTexFloorRuins00,5240,tx4WSnBkFsrJZHe7b,False
random-square-tile flooring,False,False,1360,340,White,White,,Nook's Cranny,,1.0.0,facility,shop,None,Tile Floors,RoomTexFloorSquareTile00,4973,3GqKtZdottDaNdNvP,True
rattan flooring,False,False,1100,275,Beige,Beige,,Nook's Cranny,,1.0.0,facility,shop,rattan,Wood Floors,RoomTexFloorRattan00,4967,C5WxH5ZD5LcXeGL56,True
red dot flooring,False,False,800,200,Red,Red,,Nook's Cranny,,1.0.0,fancy,child's room,None,Dot,RoomTexFloorDot02,5027,RRjt2eaLkEJv9Hk6W,True
red-and-black vinyl flooring,False,False,1150,287,Red,Gray,,Nook's Cranny,,1.0.0,expensive,None,None,Tile Checker,RoomTexFloorTileChecker01,5047,y9Bcpqd5GNvw29DbR,True
red-brick flooring,False,False,1040,260,Red,Brown,,Nook's Cranny,,1.0.0,facility,shop,None,Brick,RoomTexFloorBrick01,4975,tknYxCq8ztLx7Tibi,True
rocky-mountain flooring,False,False,3000,750,Beige,Beige,,Saharah,,1.0.0,garden,None,None,Nature - Brown,RoomTexFloorRock00,5239,BKwXAcy5Q9mW2GJkH,False
rose flooring,False,False,2200,550,Red,Red,,Nook's Cranny,,1.0.0,fancy,expensive,None,Cloth Floors,RoomTexFloorRoseCarpet00,4958,5vGSvnYMFe4A5LRte,True
rosewood flooring,False,False,2420,605,Gray,Gray,,Nook's Cranny,,1.0.0,expensive,living room,None,Wood Floors,RoomTexFloorRoseWood00,5063,jA7bCaTtZq6Z2r4gr,True
rubber-tile flooring,False,False,700,175,Gray,Gray,,Nook's Cranny,,1.0.0,facility,shop,None,Tile Floors,RoomTexFloorRubberTile00,5163,YiBqEKfe7i4EuseqS,True
rush tatami,False,False,2200,550,Beige,Beige,,Nook's Cranny,,1.0.0,zen-style,living room,None,Tatami,RoomTexFloorTatami01,5079,rnwpHPKqefSS5Hhz8,True
rush tatami flooring,False,False,2200,550,Beige,Beige,,Nook's Cranny,,1.0.0,zen-style,living room,None,Tatami Panel,RoomTexFloorTatamiPanel01,5078,CYDJXEYacE5fPeLYJ,True
Saharah's desert,False,False,3000,750,Beige,Beige,,Saharah,,1.0.0,folk art,None,None,Nature - White,RoomTexFloorDesert00,4983,7cH3CsBAarxRhAkZ5,False
sakura-wood flooring,False,True,NFS,3200,Pink,Pink,,Crafting,,1.0.0,child's room,fancy,None,Wood Floors,RoomTexFloorSolidWood00,5056,QB6ZXiQbMQ6iWexQm,False
sandlot,False,False,3000,750,Yellow,Beige,,Saharah,,1.0.0,garden,None,None,Nature - Brown,RoomTexFloorEmptyLot00,4985,HZM5De52k9N4E3iei,False
sandy-beach flooring,False,True,NFS,4120,Beige,Beige,,Crafting,,1.0.0,ocean,None,None,Nature - White,RoomTexFloorSand00,4970,tDrdWs28RgvnyTMNC,False
sci-fi flooring,True,True,NFS,7500,Black,Black,,Crafting,,1.0.0,space,facility,None,Special Inorganic Floors,RoomSpFloorSF00,5270,NAEGL6s5arLj9y2ku,False
scramble crosswalk,False,False,3000,750,Gray,Gray,,Saharah,,1.0.0,facility,None,None,Sidewalk,RoomTexFloorScramble00,5010,EHdRo9mbi9QhCtdYN,False
sepia puzzle flooring,False,False,1450,362,Colorful,Colorful,,Nook's Cranny,,1.0.0,fancy,child's room,None,Puzzle Mat,RoomTexFloorPuzzleMat02,7184,ND2rTCs7dZjKiGXjC,True
ship deck,False,False,4000,1000,Beige,Beige,,Nook's Cranny,,1.0.0,ocean,None,None,Sports Floor,RoomTexFloorSeaView00,4950,X9tRZEzQMKRKd5rnz,True
sidewalk flooring,False,False,3000,750,Gray,Brown,,Saharah,,1.0.0,shop,facility,None,Sidewalk,RoomTexFloorSidewalk01,5008,3FteXxettQm7iZF2p,False
simple blue flooring,False,False,1500,375,Blue,Blue,,Nook's Cranny,,1.0.0,den,living room,None,Simple Carpet,RoomTexFloorSimpleCarpet01,5001,JKvF62fyqF6Pg9igx,True
simple purple flooring,False,False,1500,375,Purple,Purple,,Nook's Cranny,,1.0.0,den,expensive,None,Simple Carpet,RoomTexFloorSimpleCarpet03,5003,qn6BKtgHm5tmoDtAG,True
simple red flooring,False,False,1500,375,Red,Red,,Nook's Cranny,,1.0.0,den,expensive,None,Simple Carpet,RoomTexFloorSimpleCarpet00,5000,5WEw368jE8FK9LcPa,True
simple white flooring,False,False,1500,375,White,White,,Nook's Cranny,,1.0.0,living room,shop,None,Simple Carpet,RoomTexFloorSimpleCarpet04,5004,RwMEDYWk9YBgrtXmY,True
