Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
Aran-knit cap,Blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,For sale,CapHatAlan2,12046,jeSebE2Y5fYhTj22k
Aran-knit cap,Green,False,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,For sale,CapHatAlan3,12047,fnowt95fR7QRBrux7
baby's hat,Baby mint,False,560,140,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet0,5363,rv9rW8dCfB8k73Hzr
baby's hat,Baby purple,False,560,140,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet1,11853,5939Ws882wTSv7sJK
baby's hat,Baby yellow,False,560,140,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet2,11854,qk3PJdK2SZK4vsFKo
baby's hat,Baby green,False,560,140,Green,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet3,11855,hADTfx6Y2hKri4obE
baby's hat,Baby pink,False,560,140,Red,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet4,11856,wyPrRhtyyMtn7Hy3Y
baby's hat,Baby gray,False,560,140,Beige,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet5,11857,7FLgET2RH6aejsb8v
baby's hat,Baby blue,False,560,140,Blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet6,11858,qHj5WWwZRstJtjP2d
baby's hat,Baby orange,False,560,140,Orange,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,For sale,CapBangsBonnet7,11859,Pf6AxNWkC8D4BBoEN
balloon hat,Rainbow,False,1120,280,Colorful,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,party; theatrical,HeadCap,True,For sale,CapHatBalloon0,5340,Y2LX2RKY9fu4DtjFs
balloon hat,Orange,False,1120,280,Orange,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,party; theatrical,HeadCap,True,For sale,CapHatBalloon1,11050,rWRnH9TkRg3o9xDJQ
balloon hat,Blue,False,1120,280,Blue,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,party; theatrical,HeadCap,True,For sale,CapHatBalloon2,11051,oKbK2uhkLaQaRnpWW
balloon hat,Green,False,1120,280,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,party; theatrical,HeadCap,True,For sale,CapHatBalloon3,11052,CwDPA4FeLvQ44QncE
bamboo hat,Beige,True,NFS,200,Beige,Beige,1x1,,Crafting,,All Year,False,1.0.0,Simple,fairy tale; outdoorsy,HeadCap,True,Not for sale,CapHatAjiroBeige,5143,ehxYwYvtXQ5wyi3pQ
barrette,Pink,False,490,122,Pink,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,everyday; fairy tale; party,HeadHairOrnament_Back,True,For sale,CapOrnamentTBarrette0,9860,BK2NAfuYfrr4womPM
baseball cap,Red,False,840,210,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,For sale,CapHatBaseball0,9763,Yt7QudxePYGMbwcWt
baseball cap,Navy blue,False,840,210,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,For sale,CapHatBaseball1,12092,PomndWn5sqv7fZ86a
baseball cap,Green,False,840,210,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,For sale,CapHatBaseball2,12093,xYaGzJECou3ALoBz4
baseball cap,Orange,False,840,210,Black,Orange,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,For sale,CapHatBaseball3,12094,HE8xZkXbRspp6qgoE
baseball cap,Yellow,False,840,210,Black,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,For sale,CapHatBaseball4,12095,rci5SRCfQ3Hre9vsT
batter's helmet,Red,False,1040,260,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,For sale,CapHelmetBaseball0,5366,5YfnKAsTFYFEyGCJb
batter's helmet,Navy blue,False,1040,260,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,For sale,CapHelmetBaseball1,11596,zRQ6hi9FeiQcLXwzH
batter's helmet,Green,False,1040,260,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,For sale,CapHelmetBaseball2,11597,GfWeB9jgoCTfuG9Lv
batter's helmet,Orange,False,1040,260,Black,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,For sale,CapHelmetBaseball3,11598,ohKfr9GPDP7QdRSnC
batter's helmet,Yellow,False,1040,260,Black,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,For sale,CapHelmetBaseball4,11599,4bFJaJ5S9qqevW4sx
bear cap,Brown,False,1120,280,Brown,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsBear0,5330,qmkSD7yKDpFvdxcPK
bear cap,Black,False,1120,280,Black,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsBear1,11704,6Lrqy6EP9zYBc9Cvj
bear cap,Pink,False,1120,280,Pink,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsBear2,11705,CK638wXoN5uPsRbYJ
bear cap,Blue,False,1120,280,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsBear3,11706,MfoAxTnsMmTQBic6g
beret,Berry red,False,880,220,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,For sale,CapHatBeret0,5260,iPsbB4mbQ899q2j57
beret,Blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,For sale,CapHatBeret1,11523,9CLccmJpKhs7z7GsP
beret,Green,False,880,220,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,For sale,CapHatBeret2,11524,39uW3hcrPpBpudJrm
beret,Mustard,False,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,For sale,CapHatBeret3,11525,gW77mBgBYahG3WcYf
beret,Gray,False,880,220,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,For sale,CapHatBeret4,11526,RumHCxfL5TsdeSodA
beret,White,False,880,220,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,For sale,CapHatBeret5,11527,4cJGWuLDDa2emHT9H
bicycle helmet,Blue,False,1100,275,Light blue,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet0,5282,kWrRgRFJ8PYExJvL6
bicycle helmet,Navy blue,False,1100,275,Blue,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet1,10219,tXGWFr2hrkQg6XgKy
bicycle helmet,Red,False,1100,275,Red,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet2,10220,QDn7xQHdWZ6xPh3BT
bicycle helmet,Lime,False,1100,275,Yellow,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet3,10221,mM2hGRaCP5ZaDdab6
bicycle helmet,Green,False,1100,275,Green,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet4,10222,qqDW5HCEQdMJx5H5B
bicycle helmet,Orange,False,1100,275,Orange,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet5,10223,4GFrms76iFwwqSCkm
bicycle helmet,Purple,False,1100,275,Purple,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet6,10224,D2BTXoTXvvGwzyyuF
bicycle helmet,Pink,False,1100,275,Pink,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,For sale,CapHatCyclemet7,10225,RZCHqdZeoMmDoGm4m
birthday hat,Blue,False,NFS,600,Light blue,White,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,HeadCap,True,Not for sale,CapHatBirthday0,4800,zndsngwExKbWTahZf
birthday hat,Yellow,False,NFS,600,Yellow,White,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,HeadCap,True,Not for sale,CapHatBirthday1,11031,KxQKjRzS2zDaXTS38
birthday hat,Pink,False,NFS,600,Pink,White,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,HeadCap,True,Not for sale,CapHatBirthday2,11032,SHSKySrv2c9QJHFbt
blue rose crown,Blue,True,NFS,12000,Blue,Blue,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentRose4,7377,FMTDb2CYPMNxEfjTu
bowler hat with ribbon,Blue,False,1100,275,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,For sale,CapHatBowler0,5296,WERjZwsMPdiWTSW75
bowler hat with ribbon,Beige,False,1100,275,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,For sale,CapHatBowler1,10882,Zw2YFExjKxhPLh8m9
bowler hat with ribbon,Green,False,1100,275,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,For sale,CapHatBowler2,10883,X7h5XGKTRyvZYhKvz
bowler hat with ribbon,Red,False,1100,275,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,For sale,CapHatBowler3,10884,DXBymHgCPFMRd9ruP
bowler hat with ribbon,Pink,False,1100,275,Pink,Pink,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,For sale,CapHatBowler4,10885,S6CNHQKo3qjp4rYvW
bridal veil,,False,4600,1150,White,Colorful,1x1,,Wedding Season,,All Year,False,1.2.0,Elegant,,Headgear_HasEar,False,Not for sale,CapWigWedding,5692,8bavS95pnPk55RWhq
bun wig,Pink,False,1440,360,Pink,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun0,5693,3dY6G9juEFXKBWDjL
bun wig,Blue,False,1440,360,Blue,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun1,11888,SyzZ7uDqxmmvT5oWR
bun wig,Mustard,False,1440,360,Yellow,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun2,11889,cLo5L7JBf2GSajf58
bun wig,White,False,1440,360,White,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun3,11890,iHzbGt8cd8noNaNhK
bun wig,Purple,False,1440,360,Purple,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun4,11891,EB9fqNu8wNpRwg8j7
bun wig,Green,False,1440,360,Green,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun5,11892,MaH5ns6crjCLnh4Xv
bun wig,Orange,False,1440,360,Orange,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,For sale,CapWigDoublebun6,11893,Xi5zbpjv8DuMCGhSg
Bunny Day crown,,True,NFS,2400,Colorful,Colorful,1x1,,Crafting,,All Year,False,1.1.0a,Elegant,fairy tale; party; theatrical,HeadHairOrnament_Top,True,Not for sale,CapOrnamentCEgg0,12445,22fHRtAozAf9F7KAP
bunny ears,Black,False,1120,280,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,For sale,CapOrnamentFBunny0,7209,guAKXMvkQjACjCeko
bunny ears,Pink,False,1120,280,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,For sale,CapOrnamentFBunny1,11902,ejbHqhzuDWKeRTJHB
bunny ears,Red,False,1120,280,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,For sale,CapOrnamentFBunny2,11903,Cp6KkLFeWf2ZjrxGG
bunny ears,Light blue,False,1120,280,Light blue,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,For sale,CapOrnamentFBunny3,11904,vEGFBZeC8cs8uSHYX
bunny hood,Pink,False,1120,280,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party,Headgear_HasBang,False,For sale,CapBangsRabbit0,5325,kAc5WJ4RdbdwRZviu
bunny hood,Yellow,False,1120,280,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party,Headgear_HasBang,False,For sale,CapBangsRabbit1,11700,56pSbKmverxwgoWyA
bunny hood,White,False,1120,280,White,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party,Headgear_HasBang,False,For sale,CapBangsRabbit2,11701,yspHESBTkZq8CtqQ2
captain's hat,White,False,1680,420,White,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,formal; work,HeadCap,True,For sale,CapHatCaptainWhite,5332,hKr3Y4nRnRQQji93W
cat cap,Navy blue,False,980,245,Blue,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsCat0,5326,CJzRXGT2fjMnB3Rgh
cat cap,Brown,False,980,245,Brown,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsCat1,11702,dsjqz48SY6TcQ7X7e
cat cap,White,False,980,245,White,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,For sale,CapBangsCat2,11703,vHB8gJoaSPoCJGkLz
catcher's mask,Red,False,1560,390,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,For sale,CapFullfaceCatcher0,6050,8zmdbp2tBykZTALsA
catcher's mask,Navy blue,False,1560,390,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,For sale,CapFullfaceCatcher1,11600,T5gi3Ez88i5d6CGsS
catcher's mask,Green,False,1560,390,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,For sale,CapFullfaceCatcher2,11601,nP3Qibz6spPJjfzuf
catcher's mask,Orange,False,1560,390,Black,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,For sale,CapFullfaceCatcher3,11602,FiRH6PxvgXwf7RXFL
catcher's mask,Yellow,False,1560,390,Black,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,For sale,CapFullfaceCatcher4,11603,c9D7iWahWWuwwBhWm
cavalier hat,Blue,False,1600,400,Blue,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; theatrical,HeadCap,True,For sale,CapHatCavalier0,5663,LiyDo5B8daue2r4yx
cavalier hat,Red,False,1600,400,Red,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; theatrical,HeadCap,True,For sale,CapHatCavalier1,11807,jpuz4JgbGnmndBnrF
cavalier hat,Green,False,1600,400,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; theatrical,HeadCap,True,For sale,CapHatCavalier2,11808,7Hsa64WDuBsf9EWNk
chef's hat,White,False,840,210,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,HeadCap,True,For sale,CapHatCockWhite,5140,nEKEfN4THZSYy2Fam
cherry hat,Red,True,NFS,1000,Red,Green,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,Not for sale,CapHatCherry0,9873,zAezFwCd6zTXDiLmH
chic mum crown,Colorful,True,NFS,960,Pink,Purple,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentMum2,5118,k3yYLEyKr9hmD482c
chic rose crown,Purple,True,NFS,2880,Purple,Black,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentRose3,5113,AFGYn6gsbgZv7hR7h
chic tulip crown,Colorful,True,NFS,1440,Purple,Pink,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentTulip2,5103,egj5MuWKmQwuikuhY
coin headpiece,Gold,False,NFS,1350,Yellow,Colorful,1x1,,Gulliver,,All Year,False,1.0.0,Gorgeous,theatrical,Headgear_NoEar,False,Not for sale,CapHelmetCoinGold,6091,gZaTz678JajwxN46E
colorful striped knit cap,Red,False,880,220,Red,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,For sale,CapHatColorful0,5409,9g2SAsCcRPBDN3a98
colorful striped knit cap,Blue,False,880,220,Blue,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,For sale,CapHatColorful1,10957,MNneFtRkQ4zH3N8TD
colorful striped knit cap,Green,False,880,220,Green,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,For sale,CapHatColorful2,10958,JvH9LbcQAaF3dFonA
colorful striped knit cap,Yellow,False,880,220,Yellow,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,For sale,CapHatColorful3,10959,5umtCd4PB35mTEBfk
colorful striped knit cap,Purple,False,880,220,Purple,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,For sale,CapHatColorful4,10960,kjWy2e4uNkWHZ3o3p
colorful striped knit cap,Light blue,False,880,220,Light blue,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,For sale,CapHatColorful5,10961,Q2bPLK8wsnwGPMxN9
combat helmet,Avocado,False,1120,280,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,HeadCap,True,For sale,CapHatCombat0,5316,bThWbsCsNjRFycArk
combat helmet,Brown,False,1120,280,Black,Brown,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,HeadCap,True,For sale,CapHatCombat1,10226,4xSCqGw5N8a9AxF6i
composer's wig,Hair Color,False,1680,420,Colorful,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; formal; party; theatrical; work,Headgear_NoEar,False,For sale,CapHelmetMusicBlack,5696,kmehP3Am6XP3sH2KN
cool hyacinth crown,Blue,True,NFS,1280,Blue,Orange,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentHyacinth2,5097,95vRHFGEYo5ZGQssX
cool pansy crown,Colorful,True,NFS,960,Red,Blue,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentPansy2,5106,GyeNhCRzLNF33hKqh
cool windflower crown,Colorful,True,NFS,960,Pink,Blue,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentAnemone2,5100,8gj25M44duF3QM6Cu
cosmos crown,Colorful,True,NFS,480,Colorful,Colorful,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,Not for sale,CapOrnamentCosmos1,5108,jF2NZPn7WLhoNzDic
crown,Gold,False,1000000,250000,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Gorgeous,fairy tale; formal; party; theatrical,HeadHairOrnament_Peak,True,For sale,CapOrnamentAQueen0,8000,HsmAmzyoymYTYqKFg
