Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
argyle crew socks,Gray,False,720,180,Gray,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle4,9924,2LSJz8d2eCLmuyiMg,1
argyle crew socks,White,False,720,180,White,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle5,9925,dT8t2ZMFSfktJkoDd,1
argyle crew socks,Orange,False,720,180,Orange,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle6,9926,CyRT5FdBTnic9cYrF,1
argyle crew socks,Pink,False,720,180,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle7,9927,9Gibgt5gRyngn6EuR,1
back-bow socks,Pink,False,600,150,Pink,Black,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; vacation,False,SocksTexRibbon0,4718,SerX2gLYQTKxmFi7W,1
back-bow socks,Yellow,False,600,150,Yellow,Green,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; vacation,False,SocksTexRibbon1,9053,KE3idPQwqM2kvbNFw,1
back-bow socks,Black,False,600,150,Black,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; vacation,False,SocksTexRibbon2,9054,NbaHgge5Zf54Y6dQT,1
back-bow socks,White,False,600,150,White,Pink,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; vacation,False,SocksTexRibbon3,9055,NXYXEomdp3yqkafZ7,1
back-bow socks,Blue,False,600,150,Light blue,Yellow,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; vacation,False,SocksTexRibbon4,9056,ZuzCi6zDF9G9Swfci,1
back-bow socks,Peacock blue,False,600,150,Green,Pink,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; vacation,False,SocksTexRibbon5,9057,ju47pefTtHj739pAr,1
bobby socks,White,False,480,120,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Elegant,formal; work,False,SocksTexFolded0,5171,aL52HPePkC84gPQup,1
bobby socks,Gray,False,480,120,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexFolded1,10017,a9aLEHyXSdpHqYLm8,1
bobby socks,Black,False,480,120,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexFolded2,10018,iby3kB32wD5rkxYod,1
bobby socks,Brown,False,480,120,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexFolded3,10019,ZH9uTJSirjyNrH3Qw,1
color-blocked socks,Purple,False,840,210,Purple,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock0,5180,5nRBXNdkdjyAjs5RQ,1
color-blocked socks,Green,False,840,210,Green,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock1,9895,gSZ3co7FeNLM2DqmZ,1
color-blocked socks,Brown,False,840,210,Brown,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock2,9896,tTwmQJF35W2CdDRNL,1
color-blocked socks,Blue,False,840,210,Blue,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock3,9897,EKGnqpYcYK5KDre8R,1
color-blocked socks,Beige,False,840,210,Beige,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock4,9898,tkbYFgGoKnqAJZ49K,1
color-blocked socks,White,False,840,210,White,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock5,9899,bxt6nkbfnX6KEKifX,1
color-blocked socks,Lime,False,840,210,Green,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock6,9900,jDEgNFRCGWgFw5hNq,1
color-blocked socks,Pink,False,840,210,Pink,Colorful,1x1,,Kicks,,All Year,False,1.0.0,Cute,everyday,False,SocksTexMultiblock7,9901,3Y9LcSKLMJbT5YJfH,1
compression tights,Blue,False,600,150,Black,Blue,1x1,,Kicks,,All Year,False,1.0.0,Active,outdoorsy; sporty; work,False,SocksTexCompression0,5170,Fc8uttzc2hwQM7RKw,1
compression tights,Yellow,False,600,150,Black,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Active,outdoorsy; sporty; work,False,SocksTexCompression1,9790,otHYAzdH3cf86yKEo,1
compression tights,Pink,False,600,150,Black,Pink,1x1,,Kicks,,All Year,False,1.0.0,Active,outdoorsy; sporty; work,False,SocksTexCompression2,9791,SsdRjyHarAqc72Kmv,1
compression tights,Mint,False,600,150,Black,Green,1x1,,Kicks,,All Year,False,1.0.0,Active,outdoorsy; sporty; work,False,SocksTexCompression3,9792,j6AcTLGBGdk9xgThP,1
compression tights,Red,False,600,150,Black,Red,1x1,,Kicks,,All Year,False,1.0.0,Active,outdoorsy; sporty; work,False,SocksTexCompression4,9793,qrFTn5ab3j4nHqzwd,1
country socks,Red ribbons,False,720,180,White,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexCountry0,6044,wgBZqqpZomaTLZhcz,1
country socks,Green ribbons,False,720,180,White,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexCountry1,8942,RWpifRdqLmYQL5dGf,1
country socks,Blue ribbons,False,720,180,White,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexCountry2,8943,mDTdqvPWaESchMEGe,1
country socks,Black ribbons,False,720,180,White,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,formal; work,False,SocksTexCountry3,8944,ptJF3tBrJxAYRLT5T,1
crocheted socks,Beige,False,600,150,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,everyday; comfy,False,SocksTexCrocheting0,5202,phkn7YMAHEZZFyC3L,1
crocheted socks,Gray,False,600,150,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,everyday; comfy,False,SocksTexCrocheting1,8939,mopfLb9yhXEj9qXS2,1
crocheted socks,Purple,False,600,150,Pink,Pink,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,everyday; comfy,False,SocksTexCrocheting2,8940,PT7ZGkfTfkvtkBmJx,1
crocheted socks,Blue,False,600,150,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,everyday; comfy,False,SocksTexCrocheting3,8941,k8aPtaZcFrRZwZvD6,1
denim leggings,Blue,False,540,135,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; outdoorsy; sporty,False,SocksTexDenimleggings0,4745,3FSnfcpAYm5Fjbctc,1
denim leggings,Indigo blue,False,540,135,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; outdoorsy; sporty,False,SocksTexDenimleggings1,9782,zX9ge6E48pkgAtvJG,1
denim leggings,Saxon blue,False,540,135,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; outdoorsy; sporty,False,SocksTexDenimleggings2,9783,z4ygu9Huw9NGZBeYZ,1
denim leggings,Light blue,False,540,135,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; outdoorsy; sporty,False,SocksTexDenimleggings3,9784,kJjSEP42iYeHw2XTP,1
dotted knee-high socks,Black,False,720,180,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,everyday,False,SocksTexDotknee0,12174,NvX65fPWJDEAJdBh8,1
dotted knee-high socks,Yellow,False,720,180,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday,False,SocksTexDotknee1,12179,2yn8c76aCod8W6H9t,1
dotted knee-high socks,Cyan,False,720,180,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday,False,SocksTexDotknee2,12180,Kvp83zH2Qcp6XeJro,1
dotted knee-high socks,Gray,False,720,180,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,everyday,False,SocksTexDotknee3,12181,wJw3R2v2MKdSepbvE,1
embroidered-flower tights,Brown,False,1000,250,Brown,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; party,False,SocksTexEmbroidery0,5204,qAsvxHbnuC6DDNZjG,1
embroidered-flower tights,Black,False,1000,250,Black,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; party,False,SocksTexEmbroidery1,9907,SiWtz8aTYoK75JfRz,1
embroidered-flower tights,Green,False,1000,250,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; party,False,SocksTexEmbroidery2,9908,jPQA8CohQNBhSwsiq,1
embroidered-flower tights,Beige,False,1000,250,Beige,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; party,False,SocksTexEmbroidery3,9909,fwcHa7FkHcm4BZdYP,1
embroidered-flower tights,Blue,False,1000,250,Blue,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; party,False,SocksTexEmbroidery4,9910,fmZu6dNagF4XW6rvd,1
embroidered-flower tights,Purple,False,1000,250,Purple,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; party,False,SocksTexEmbroidery5,9911,iivtbk5pG2i2asvBC,1
everyday socks,Brown,False,600,150,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; work,False,SocksTexDailysocks0,9645,7NubAsby6JGtDjkQE,1
everyday socks,Black,False,600,150,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; work,False,SocksTexDailysocks1,10034,Pe45hBHF5EJnYr9Es,1
everyday socks,Navy blue,False,600,150,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailysocks2,10035,MyTLF7gvqar4TjoR3,1
everyday socks,Gray,False,600,150,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; work,False,SocksTexDailysocks3,10036,RYHfit78bZMtfDcGL,1
everyday socks,Beige,False,600,150,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; work,False,SocksTexDailysocks4,10037,AjdoBNEpkupPceJ4z,1
everyday socks,White,False,600,150,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailysocks5,10038,4s4vWXEwkLbb3efNb,1
everyday tights,Black,False,720,180,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailytights0,9581,rh6Bpp5D5QL7QXt7F,1
everyday tights,Light gray,False,720,180,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailytights1,9682,GG4hZNfY85kX42aEe,1
everyday tights,Gray,False,720,180,Gray,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailytights2,9683,HWnMuGqHxjQLh7yDJ,1
everyday tights,White,False,720,180,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailytights3,9684,iENLav487Pt8WgfWk,1
everyday tights,Navy blue,False,720,180,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailytights4,9685,Byc5JuPksWfY4wprE,1
everyday tights,Beige,False,720,180,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; work,False,SocksTexDailytights5,9686,w9RMWiq6CjrmwWJtN,1
fishnet tights,Black,False,480,120,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,party; theatrical,False,SocksTexAmitights0,3096,3tL4DiJ9rWHthc9Pk,1
fishnet tights,White,False,480,120,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,party; theatrical,False,SocksTexAmitights1,9659,gsjb2cGwKR3nQswoP,1
fishnet tights,Red,False,480,120,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,party; theatrical,False,SocksTexAmitights2,9660,48n6aHZGEPnDEK9jx,1
flowery-dot tights,White,False,720,180,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,fairy tale; formal; party; theatrical,False,SocksTexFlowerdot0,5804,PMGBtgwgdqyfgFLGT,1
flowery-dot tights,Pink,False,720,180,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; formal; party; theatrical,False,SocksTexFlowerdot1,9917,iPqdJXpkmoQHFa3bk,1
flowery-dot tights,Blue,False,720,180,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; formal; party; theatrical,False,SocksTexFlowerdot2,9918,LQLHZmbq5ooLpTaSc,1
flowery-dot tights,Yellow,False,720,180,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; formal; party; theatrical,False,SocksTexFlowerdot3,9919,MKk8HkGiw8Dm5isEd,1
flowery-dot tights,Black,False,720,180,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,fairy tale; formal; party; theatrical,False,SocksTexFlowerdot4,9920,Can7JCiG9L8Hm9TDc,1
frilly knee-high socks,Black,False,840,210,Black,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee0,5172,vmXP6mnS88memLCX4,1
frilly knee-high socks,Green,False,840,210,Green,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee1,11589,3Q2vgyB7ck687Eyqg,1
frilly knee-high socks,Red,False,840,210,Red,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee2,11590,xds2s4575YP27vR8A,1
frilly knee-high socks,Brown,False,840,210,Orange,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee3,11591,JNi4geueh5oD227xR,1
frilly knee-high socks,Mint,False,840,210,Light blue,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee4,11592,CWTTXCXbYiGajL8GN,1
frilly knee-high socks,Pink,False,840,210,Pink,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee5,11593,v9tYcuwPdAT7v3wQS,1
frilly knee-high socks,Purple,False,840,210,Purple,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee6,11594,WXa2dtqHH4yTqi72y,1
frilly knee-high socks,Yellow,False,840,210,Yellow,White,1x1,,Kicks,,Spring,False,1.0.0,Cute,everyday; fairy tale; party; theatrical,False,SocksTexFrilledknee7,11595,WdGcfiFNT7NYtgr2x,1
frilly socks,White,False,720,180,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; formal; party,False,SocksTexFrilled0,5174,JjfAnWLyzasyYMg3v,1
frilly socks,Yellow,False,720,180,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; formal; party,False,SocksTexFrilled1,8934,riCwe2zM7QyECk3Jr,1
frilly socks,Pink,False,720,180,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; formal; party,False,SocksTexFrilled2,8935,eReXG6NHXaQ7K3hBX,1
frilly socks,Green,False,720,180,Green,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; formal; party,False,SocksTexFrilled3,8936,k4BtF693DbxH33AL6,1
frilly socks,Purple,False,720,180,Purple,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; formal; party,False,SocksTexFrilled4,8937,RTFEAwp3SBjAFWdd8,1
frilly socks,Blue,False,720,180,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,everyday; fairy tale; formal; party,False,SocksTexFrilled5,8938,gQw822wnuA7Cvo7nF,1
funny-face socks,Pink,False,600,150,Pink,Light blue,1x1,,Kicks,,Summer,False,1.0.0,Active,everyday; comfy,False,SocksTexCharacter0,5406,foRRtKZSXYm9y3rX9,1
funny-face socks,Blue,False,600,150,Blue,Green,1x1,,Kicks,,Summer,False,1.0.0,Active,everyday; comfy,False,SocksTexCharacter1,9992,y8GCEKe7n9XX2TW4n,1
funny-face socks,Red,False,600,150,Red,Yellow,1x1,,Kicks,,Summer,False,1.0.0,Active,everyday; comfy,False,SocksTexCharacter2,9993,qSjBCKKdyA4KREoye,1
funny-face socks,Green,False,600,150,Green,Blue,1x1,,Kicks,,Summer,False,1.0.0,Active,everyday; comfy,False,SocksTexCharacter3,9994,hj2f2Lh4d4ZEWsi6B,1
funny-face socks,Black,False,600,150,Black,Gray,1x1,,Kicks,,Summer,False,1.0.0,Active,everyday; comfy,False,SocksTexCharacter4,9995,Z325j6mwSX7psKc6s,1
garter socks,Black,False,980,245,Black,Black,1x1,,Kicks,,All Year,False,1.0.0,Cool,formal; party; theatrical,False,SocksTexGarter0,4747,iwKjqecWcWav7tNss,1
garter socks,White,False,980,245,White,White,1x1,,Kicks,,All Year,False,1.0.0,Cool,formal; party; theatrical,False,SocksTexGarter1,9661,iDmZtgECn8KRQuAMs,1
garter socks,Purple,False,980,245,Purple,Purple,1x1,,Kicks,,All Year,False,1.0.0,Cool,formal; party; theatrical,False,SocksTexGarter2,9662,RN674wx6333j9XEHA,1
garter socks,Red,False,980,245,Red,Red,1x1,,Kicks,,All Year,False,1.0.0,Cool,formal; party; theatrical,False,SocksTexGarter3,9663,88SHPWGpx3C5ft2dv,1
geometric-print socks,Yellow,False,950,237,Yellow,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,False,SocksTexChimayo0,5444,iRLnesjDYbtq9h3KN,1
geometric-print socks,Peacock blue,False,950,237,Light blue,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,False,SocksTexChimayo1,9912,LREKsNHetcJzH6h8w,1
geometric-print socks,Purple,False,950,237,Purple,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,False,SocksTexChimayo2,9913,eLuF389npgRiWzMAS,1
geometric-print socks,Beige,False,950,237,Beige,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,False,SocksTexChimayo3,9914,ssdvzowHC9cjHtC7E,1
geometric-print socks,Pink,False,950,237,Pink,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,False,SocksTexChimayo4,9915,PuAirT3RNJoiq4EsZ,1
geometric-print socks,Green,False,950,237,Green,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,False,SocksTexChimayo5,9916,jiHCobNrHoCB3jBao,1
hand-knit socks,Green,False,700,175,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,outdoorsy; comfy,False,SocksTexHandknit0,5196,z54zAKmuyqXF6pRiL,1
hand-knit socks,Purple,False,700,175,Purple,Purple,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,outdoorsy; comfy,False,SocksTexHandknit1,9076,j5an4tBSddSdQKoTE,1
hand-knit socks,Orange,False,700,175,Orange,Orange,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,outdoorsy; comfy,False,SocksTexHandknit2,9077,digGMqMoQXzCPZHcp,1
holey socks,Blue,False,NFS,10,Blue,Blue,1x1,,Recycle bin,,All Year,False,1.0.0,Simple,goth; comfy,False,SocksTexHole0,5178,eaux4kbxPYywzEPnk,0
holey socks,Navy blue,False,NFS,10,Blue,Blue,1x1,,Recycle bin,,All Year,False,1.0.0,Simple,goth; comfy,False,SocksTexHole1,9070,ekrFBBgdDZN9rCRyX,0
holey socks,White,False,NFS,10,Beige,Beige,1x1,,Recycle bin,,All Year,False,1.0.0,Simple,goth; comfy,False,SocksTexHole2,9071,mCipqhEgf8Co9QRig,0
holey tights,Black,False,350,87,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights0,5176,CWxgPmSn9NHnRk7n8,1
holey tights,Pink,False,350,87,Pink,Pink,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights1,9664,kfjtinkEFrk92xCDv,1
holey tights,Light blue,False,350,87,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights2,9665,kRb3QxmzBz664qW7k,1
holey tights,Red,False,350,87,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights3,9666,XddtgttTuvd2aGgJz,1
holey tights,Purple,False,350,87,Purple,Purple,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights4,9667,dwSSLoeYvH4S8Bdvf,1
holey tights,Green,False,350,87,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights5,9668,HsCb6Xa2yr6KfoP3j,1
holey tights,Blue,False,350,87,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday; goth; theatrical,False,SocksTexHoletights6,9669,PYaDDkoBgonoD9ZgF,1
