Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Secondary Shape,Filename,Internal ID,Unique Entry ID,Purchasable,Type
ancient belted robe,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukumen2,9159,DFxZQJWvqjzGxpEWw,1,Kimono
ancient belted robe,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukumen3,9160,Fcbj8smE8XoZJuH3h,1,Kimono
ancient belted robe,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukumen4,9161,2Pz2drQkcbzDF5dXX,1,Kimono
ancient sashed robe,Green,No,2520,630,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukuwomen0,5519,9ia2ueaAKgT25KpLq,1,Kimono
ancient sashed robe,Pink,No,2520,630,Pink,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukuwomen1,9162,vRcHxEwpupmHocSZi,1,Kimono
ancient sashed robe,Red,No,2520,630,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukuwomen2,9163,fkKFHi8LSBqQnF5fP,1,Kimono
ancient sashed robe,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukuwomen3,9164,eZq27jsCvY5jxiyJX,1,Kimono
ancient sashed robe,Purple,No,2520,630,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukuwomen4,9165,jr6P62azs7uQ2gzjL,1,Kimono
áo dài,White,No,2520,630,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,L,TopsTexOnepieceBlongLAodai0,3493,KPYgXwbrnLgBT7aaS,1,B-long
áo dài,Navy blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,L,TopsTexOnepieceBlongLAodai1,9141,qJ6wpwNd8tRK4mJqt,1,B-long
áo dài,Yellow,No,2520,630,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,L,TopsTexOnepieceBlongLAodai2,9142,iCHJh668S3FYby4iz,1,B-long
áo dài,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,L,TopsTexOnepieceBlongLAodai3,9143,bkv3c36HA4856YrPL,1,B-long
áo dài,Pink,No,2520,630,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,L,TopsTexOnepieceBlongLAodai4,9144,EhoEQfAaNHBCYq6ET,1,B-long
apple dress,Red,Yes,NFS,1600,Yellow,Red,1x1,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,N,TopsTexOnepieceAlineNApple0,9836,4r6bu79MTGChcioYr,0,A-line
astro dress,Blue,No,2500,625,Gray,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,N,TopsTexOnepieceAlineNSpace0,5135,YgSrhdHZosAdNtDvp,1,A-line
astro dress,Green,No,2500,625,Gray,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,N,TopsTexOnepieceAlineNSpace1,7890,Zwb2C5oFXQ3ip2KTb,1,A-line
astro dress,Pink,No,2500,625,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,N,TopsTexOnepieceAlineNSpace2,7891,MCrJgJnwLXfXbNiTA,1,A-line
attus robe,Blue,No,2520,630,Blue,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,L,TopsTexOnepieceBlongLAttoushi0,10907,GCnizpuhnhMnWodB6,1,B-long
attus robe,Brown,No,2520,630,Brown,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,L,TopsTexOnepieceBlongLAttoushi1,11998,uWaA98hr4zo2nE424,1,B-long
attus robe,Red,No,2520,630,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,L,TopsTexOnepieceBlongLAttoushi2,11999,GKPivR7QXbRhAH589,1,B-long
baby romper,Baby mint,No,1920,480,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers0,4470,fpTozgJHe8zAbuoJr,1,Overall
baby romper,Baby purple,No,1920,480,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers1,7828,xaNwcn2BKpELEEcJu,1,Overall
baby romper,Baby yellow,No,1920,480,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers2,7829,jATy7chF9RZSpzgkM,1,Overall
baby romper,Baby green,No,1920,480,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers3,7830,3wYgbYbbc9R7XK6sT,1,Overall
baby romper,Baby pink,No,1920,480,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers4,7831,xugKSBhsTLu7iJHqf,1,Overall
baby romper,Baby gray,No,1920,480,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers5,7832,AXWwhihKEF9GCxh7R,1,Overall
baby romper,Baby blue,No,1920,480,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers6,7833,6SATwHBYcR8soiT2n,1,Overall
baby romper,Baby orange,No,1920,480,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,L,TopsTexOnepieceOverallLRompers7,7834,63PAmvstBoJvzyYq9,1,Overall
baby-chick costume,Yellow,No,1700,425,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,fairy tale; party; theatrical,Yes,N,TopsTexOnepieceRibNChick0,5644,YA7qY7v9XHAvmqbXH,1,Rib
baby-chick costume,Blue,No,1700,425,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,N,TopsTexOnepieceRibNChick1,9640,gW7sLivQcaehgbjXP,1,Rib
baby-chick costume,Beige,No,1700,425,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,N,TopsTexOnepieceRibNChick2,9641,ypSLLZTw54xErGjfT,1,Rib
baji jeogori,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKorea0,5818,oiNZmTDej7FHJY8Ab,1,Kimono
baji jeogori,Purple,No,2520,630,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKorea1,9166,MiGR4W6zqSmxAaidp,1,Kimono
baji jeogori,Aqua,No,2520,630,Light blue,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKorea2,9167,AJkbvYDxyGcQpGKFG,1,Kimono
baji jeogori,Black,No,2520,630,Black,Gray,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKorea3,9168,MapEioZAxqTnzK2Mz,1,Kimono
ballet outfit,Pink,No,2880,720,Pink,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet0,3166,PR8F8HXT6zhFmiSoL,1,Balloon
ballet outfit,Mint,No,2880,720,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet1,9412,5ppj9ELW2ts4jnpfK,1,Balloon
ballet outfit,Blue,No,2880,720,Blue,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet2,9413,xZnnLbWuk4NqYx7da,1,Balloon
ballet outfit,Purple,No,2880,720,Purple,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet3,9414,a3SPLxg8gvdHASamJ,1,Balloon
ballet outfit,Black,No,2880,720,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet4,9415,cZuKQFyeLymFGDngJ,1,Balloon
ballet outfit,White,No,2880,720,White,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet5,9416,cRmBbYvn7e6bdJBfi,1,Balloon
ballet outfit,Yellow,No,2880,720,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet6,9417,wFeRZDBHF9PmpaH8q,1,Balloon
ballet outfit,Red,No,2880,720,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,N,TopsTexOnepieceBalloonNBallet7,9418,BXLtytts48iRPNmy9,1,Balloon
balmacaan coat,Avocado,No,1540,385,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Simple,everyday,Yes,L,TopsTexOnepieceBlongLBalmakarn0,4606,ZSrYa9yCZuEtRuDXa,1,B-long
balmacaan coat,Beige,No,1540,385,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Simple,everyday,Yes,L,TopsTexOnepieceBlongLBalmakarn1,9306,j36QhnToq72NcFoTv,1,B-long
balmacaan coat,Navy blue,No,1540,385,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Simple,everyday,Yes,L,TopsTexOnepieceBlongLBalmakarn2,9307,6dMCMfwf8Gekwt6ww,1,B-long
baseball uniform,Red,No,1760,440,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,L,TopsTexOnepieceOverallLBaseball0,3611,HhoXdZZZWxQGCk752,1,Overall
baseball uniform,Navy blue,No,1760,440,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,L,TopsTexOnepieceOverallLBaseball1,11106,CziYkwQpHnwwgwmsF,1,Overall
baseball uniform,Green,No,1760,440,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,L,TopsTexOnepieceOverallLBaseball2,11107,RPu7p2wCQzzJsoZ9F,1,Overall
baseball uniform,Orange,No,1760,440,Black,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,L,TopsTexOnepieceOverallLBaseball3,11108,3gxYZqHjofPiXoQYi,1,Overall
baseball uniform,Yellow,No,1760,440,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,L,TopsTexOnepieceOverallLBaseball4,11109,DhRRcfvrdTfMFERYf,1,Overall
bath-towel wrap,Pink,No,630,157,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel0,4361,maeBfSoK7TC9hgFNX,1,Box
bath-towel wrap,White,No,630,157,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel1,7811,JS6Z64sHXkWgXYWvE,1,Box
bath-towel wrap,Blue,No,630,157,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel2,7812,cstqgzaWuqDB8ti93,1,Box
bath-towel wrap,Green,No,630,157,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel3,7813,4CLJ5docy9jtzAG4z,1,Box
bath-towel wrap,Purple,No,630,157,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel4,7814,cZrL49HyDM6tjieuB,1,Box
bath-towel wrap,Black,No,630,157,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel5,7815,FAb5AGmEnEdCqCp4F,1,Box
bath-towel wrap,Brown,No,630,157,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,N,TopsTexOnepieceBoxNBathtowel6,7816,BQj2oNwq8HYhtenp8,1,Box
bathrobe,White,No,720,180,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes0,3165,nW28CtMTSt7iNNEQZ,1,Box
bathrobe,Pink,No,720,180,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes1,7817,WF5NasbTTRETdwzHn,1,Box
bathrobe,Blue,No,720,180,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes2,7818,XY5ESy5YS2XvYXPYa,1,Box
bathrobe,Green,No,720,180,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes3,7819,gjHaiKH55sce26ZSY,1,Box
bathrobe,Purple,No,720,180,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes4,7820,6z4GYHuFH3sZinmww,1,Box
bathrobe,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes5,7821,Hpg2duFhoHoKHDrqj,1,Box
bathrobe,Brown,No,720,180,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,L,TopsTexOnepieceBoxLBathrobes6,7822,98b39TTftthoRbnsR,1,Box
bear costume,Brown,No,1700,425,Brown,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,L,TopsTexOnepieceOverallLBear0,3417,hjNai4dfzoqt6oX2m,1,Overall
bear costume,Black,No,1700,425,Black,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,L,TopsTexOnepieceOverallLBear1,9628,tbpLhy27tD3AQPYCD,1,Overall
bear costume,Pink,No,1700,425,Pink,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,L,TopsTexOnepieceOverallLBear2,9629,mB4TGMowDroYHofZt,1,Overall
bear costume,Blue,No,1700,425,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,L,TopsTexOnepieceOverallLBear3,9630,rs5SZ3Qh4gxjafnSM,1,Overall
bekasab robe,Red,No,2520,630,Red,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,L,TopsTexOnepieceAlongLUzbek0,10906,Q34fhddd9EffXaHvS,1,A-long
bekasab robe,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,L,TopsTexOnepieceAlongLUzbek1,11995,qPLZ3iuMRK7o5CnWK,1,A-long
bekasab robe,Camel,No,2520,630,Orange,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,L,TopsTexOnepieceAlongLUzbek2,11996,eq8oNByquPyya2TuN,1,A-long
bekasab robe,Purple,No,2520,630,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,L,TopsTexOnepieceAlongLUzbek3,11997,36BRJXGD3tMyAmc2g,1,A-long
belted dotted dress,Light blue,No,2000,500,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,H,TopsTexOnepieceBalloonHPolkadot0,3054,PwiZ9vT4c8kDb3F83,1,Balloon
belted dotted dress,Pink,No,2000,500,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,H,TopsTexOnepieceBalloonHPolkadot1,8866,aoGyqkZ4sz3rm5W9h,1,Balloon
belted dotted dress,Yellow,No,2000,500,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,H,TopsTexOnepieceBalloonHPolkadot2,8867,bkwKdTiDoub9FjgBg,1,Balloon
belted dotted dress,Green,No,2000,500,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,H,TopsTexOnepieceBalloonHPolkadot3,8868,ABXLKuYheFcunS3pk,1,Balloon
bingata dress,Yellow,No,2520,630,Yellow,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,theatrical,Yes,L,TopsTexOnepieceKimonoLBingata0,10908,XfmN6jSCvgu5jd6Y6,1,Kimono
blossom dress,Pink,No,1500,375,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,H,TopsTexOnepieceAlineHFlower0,3069,GqYyjv48SGxMn4GuZ,1,A-line
blossom dress,Blue,No,1500,375,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,H,TopsTexOnepieceAlineHFlower1,8806,htYweYAfTJ9GJrQzZ,1,A-line
blossom dress,Yellow,No,1500,375,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,H,TopsTexOnepieceAlineHFlower2,8807,uSPwJQvogSRpTTviE,1,A-line
blossom dress,Green,No,1500,375,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,H,TopsTexOnepieceAlineHFlower3,8808,5wRSMJBtc72WxCajX,1,A-line
blossom dress,Purple,No,1500,375,Purple,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,H,TopsTexOnepieceAlineHFlower4,8809,EZHMvPc53oJhSGAtT,1,A-line
blossoming kimono,Pink,No,3220,805,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,L,TopsTexOnepieceKimonoLUme0,3572,2DCsWtgzNsYcGh56w,1,Kimono
blossoming kimono,Green tea,No,3220,805,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,L,TopsTexOnepieceKimonoLUme1,8980,JpsCXspD9GyZr2CHg,1,Kimono
boa parka,Mint,No,1800,450,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Yes,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,L,TopsTexOnepieceRibLBore0,4604,q4LZzkARHi5RcyS2z,1,Rib
boa parka,Purple,No,1800,450,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,L,TopsTexOnepieceRibLBore1,7981,Ykh2csg5jNzWWNKXs,1,Rib
boa parka,Gray,No,1800,450,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,L,TopsTexOnepieceRibLBore2,7982,uqCRPjmFqdAciwCS7,1,Rib
boa parka,Pink,No,1800,450,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,L,TopsTexOnepieceRibLBore3,7983,ockTRKCSKitWDMQnK,1,Rib
Bohemian tunic dress,Red,No,1900,475,Beige,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy; vacation,Yes,L,TopsTexOnepieceBoxLBohemian0,4409,RCDLSmXjZZgrYgbzN,1,Box
Bohemian tunic dress,Navy blue,No,1900,475,Gray,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy; vacation,Yes,L,TopsTexOnepieceBoxLBohemian1,8593,fNqA8hLL4ASq32SAM,1,Box
Bohemian tunic dress,Green,No,1900,475,Beige,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy; vacation,Yes,L,TopsTexOnepieceBoxLBohemian2,8594,sGh95yCJkzDWrSTTW,1,Box
bold muumuu,Navy blue,No,1600,400,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,comfy; vacation,Yes,N,TopsTexOnepieceAlineNPolynesia0,8190,3XZaJAkpmWQCriPfT,1,A-line
bold muumuu,Pink,No,1600,400,Pink,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,comfy; vacation,Yes,N,TopsTexOnepieceAlineNPolynesia1,8604,6QhkL2fSo3kgqeGvG,1,A-line
bolero coat,Pink,No,2080,520,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Cute,everyday; fairy tale; comfy,Yes,L,TopsTexOnepieceAlineLBolerocoat0,4334,NJHcQoiKTqwiKp8nQ,1,A-line
