Name,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
Angus's poster,1000,250,Red,Orange,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBul00,10807,wGwxFH8nwYXuDj8Mv,True,0,2020-08-13
Anicotti's poster,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus10,10413,YFQoYdCCWf74rHXxX,True,0,2020-08-13
Ankha's poster,1000,250,Yellow,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCat19,10416,YNxQgR8caq9EAvm8b,True,0,2020-08-13
Annalisa's poster,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlAnt08,10824,QLhdJiM4EPJBdZvZD,True,0,2020-08-13
Annalise's poster,1000,250,Brown,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHrs09,10573,KeP7vMfGPMihtEeRN,True,0,2020-08-13
Antonio's poster,1000,250,Blue,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlAnt01,10795,TeuSXPWPNyvqpWyF7,True,0,2020-08-13
Apollo's poster,1000,250,Black,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPbr00,10512,SiD2CXoom2ufiKaHY,True,0,2020-08-13
Apple's poster,1000,250,Red,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHam01,10565,fqWJTtNBSXH4JTa4W,True,0,2020-08-13
Astrid's poster,1000,250,White,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlKgr05,10493,ha3PS72Re4aZznfPB,True,0,2020-08-13
Audie's poster,1000,250,Red,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlWol12,10859,ji4EcitFLpu8pxguu,True,0,2020-08-13
Aurora's poster,1000,250,Black,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPgn00,10563,iPnQ3k2KAts6ZohZu,True,0,2020-08-13
Ava's poster,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlChn05,10467,XuCCq3DgwaAREjgnY,True,0,2020-08-13
Avery's poster,1000,250,Gray,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPbr05,10370,5aP6GoQ2YiTHaN523,True,0,2020-08-13
Axel's poster,1000,250,Blue,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlElp06,10319,5BGYmdDam5ddHkktX,True,0,2020-08-13
Baabara's poster,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlShp01,10508,hmmcqfFiWWoWNQfre,True,0,2020-08-13
Bam's poster,1000,250,Blue,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDer01,10456,N5FWLxwNYM2Qb4CsD,True,0,2020-08-13
Bangle's poster,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlTig03,10672,waGuCcp47Jd8riQgL,True,0,2020-08-13
Barold's poster,1000,250,Gray,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCbr16,10583,F9dscB8bM2NRt4DHz,True,0,2020-08-13
Bea's poster,1000,250,Light blue,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog10,10632,QANup429jzLZ9RtGw,True,0,2020-08-13
Beardo's poster,1000,250,Light blue,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBea13,10788,oDTLWzHGazre6rf2d,True,0,2020-08-13
Beau's poster,1000,250,Light blue,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDer07,10396,akpHWn6ftgCh2DkQn,True,0,2020-08-13
Becky's poster,1000,250,Purple,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlChn09,10580,FKSnKjqAcon3Xnsbh,True,0,2020-08-13
Bella's poster,1000,250,Purple,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus02,10681,2ZzkQFMSyPpDWBFwN,True,0,2020-08-13
Benedict's poster,1000,250,Red,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlChn01,10400,LW8FbZ42R53sf8Gmr,True,0,2020-08-13
Benjamin's poster,1000,250,Yellow,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog16,10695,4gXWSoNbnL5ejGPbe,True,0,2020-08-13
Bertha's poster,1000,250,Pink,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHip03,10322,NLbdnzL9z9rAsyDLi,True,0,2020-08-13
Bettina's poster,1000,250,Orange,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus15,10403,SCYyGPKpf7aK3PXD7,True,0,2020-08-13
Bianca's poster,1000,250,Light blue,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlTig06,10393,odXRHQpFx3rB3QGTQ,True,0,2020-08-13
Biff's poster,1000,250,Red,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHip04,10682,qhFwx4ArLikXPrHa8,True,0,2020-08-13
Big Top's poster,1000,250,Green,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlElp02,10426,mkPhKXgL5CiHPjWRt,True,0,2020-08-13
Bill's poster,1000,250,Brown,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDuk00,10653,sYPGCn8NjP6R9byDv,True,0,2020-08-13
Billy's poster,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlGoa02,10620,NGA6CZqcPu5H3NXbn,True,0,2020-08-13
Biskit's poster,1000,250,Orange,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog03,10496,RsGh3NwxT4szECdgL,True,0,2020-08-13
Bitty's poster,1000,250,Pink,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHip05,10622,cAuB9k5uSv46zLv9t,True,0,2020-08-13
Blaire's poster,1000,250,Black,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlSqu01,10369,dZZxMyzvStPjj2snD,True,0,2020-08-13
Blanca's poster,1000,250,White,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting to Photopia with an amiibo,1.0.0,PosterNpcSpMka,10343,HGSmXooFFtwAMcxHX,True,0,2020-08-13
Blanche's poster,1000,250,White,Pink,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlOst08,10478,R6Rw4ctwjDY9e28et,True,0,2020-08-13
Blathers's poster,1000,250,Brown,Beige,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcSpOwl,10324,gaPCze5wML6Qug2jZ,True,0,2020-08-13
Bluebear's poster,1000,250,Light blue,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCbr00,10652,3xyh2F9XMHniXeMPj,True,0,2020-08-13
Bob's poster,1000,250,Purple,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCat00,10797,z2W6hsJ38PNXr5JBS,True,0,2020-08-13
Bonbon's poster,1000,250,Brown,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt17,10666,9bjNfEmfXHogQLLy9,True,0,2020-08-13
Bones's poster,1000,250,Beige,Pink,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog04,10548,gCMMRqr89tRzSDsfi,True,0,2020-08-13
Booker's poster,1000,250,Orange,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting to Photopia with an amiibo,1.0.0,PosterNpcSpDgb,10336,iLRZ2sLsR5JpnstFW,True,0,2020-08-13
Boomer's poster,1000,250,Black,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPgn10,10506,AaTWfB3HwMLdb66oj,True,0,2020-08-13
Boone's poster,1000,250,Brown,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlGor02,10534,x73G2vr9yLgmGFkAz,True,0,2020-08-13
Boots's poster,1000,250,Green,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCrd02,10634,sx9Msn3pFgbL797cq,True,0,2020-08-13
Boris's poster,1000,250,Blue,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPig09,10613,jWhj4NpRxCTr6448J,True,0,2020-08-13
Boyd's poster,1000,250,Red,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlGor05,10621,ZLgQCoaTBm2ampuyF,True,0,2020-08-13
Bree's poster,1000,250,Green,Pink,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus03,10486,hwiRhRj9ns5DYLxh4,True,0,2020-08-13
Brewster's poster,1000,250,Green,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting to Photopia with an amiibo,1.0.0,PosterNpcSpPge,10516,MvWLaRvLhvzFLL33M,True,0,2020-08-13
Broccolo's poster,1000,250,Light blue,Colorful,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus12,10378,jtgSXuiFeXrhqcndu,True,0,2020-08-13
Broffina's poster,1000,250,Orange,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlChn12,10535,CPcRxGMpcoM7eJDED,True,0,2020-08-13
Bruce's poster,1000,250,Gray,Orange,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDer03,10594,Avb77qhMp3B6QgAXm,True,0,2020-08-13
Bubbles's poster,1000,250,Orange,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHip02,10447,pbKEfdRSQB6aLq8KK,True,0,2020-08-13
Buck's poster,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHrs00,10485,j2RuomkgYQHRXvyMr,True,0,2020-08-13
Bud's poster,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlLon00,10398,CLSFvYYxsYPxWZ46r,True,0,2020-08-13
Bunnie's poster,1000,250,Red,Beige,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt00,10316,SLfwmbskgPWmkKZyz,True,0,2020-08-13
Butch's poster,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog01,10385,MeC9zFBwnNcMr6aaA,True,0,2020-08-13
Buzz's poster,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPbr03,10648,ooxssY2sNRY35R7Tj,True,0,2020-08-13
Cally's poster,1000,250,Beige,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlSqu11,10600,9C75xv9doaZLWpnKt,True,0,2020-08-13
Camofrog's poster,1000,250,Green,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlFlg03,10412,BB9Jwomm4GExvnoTE,True,0,2020-08-13
Canberra's poster,1000,250,Orange,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlKal08,10451,E9tQeMSWQKoNgSxvo,True,0,2020-08-13
Candi's poster,1000,250,Pink,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus08,10637,YgLmQYuHf259anCYZ,True,0,2020-08-13
Carmen's poster,1000,250,Brown,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt16,10374,RFRW8GSsCgM66CgLP,True,0,2020-08-13
Caroline's poster,1000,250,Red,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlSqu06,10507,wkEbaPiiNzejEB4zE,True,0,2020-08-13
Carrie's poster,1000,250,Orange,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlKgr02,10615,zgkHz6cjBecbyqG3F,True,0,2020-08-13
Cashmere's poster,1000,250,White,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlShp04,10640,8GcwQ4DCdGddLw7mr,True,0,2020-08-13
Celeste's poster,1000,250,Brown,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcSpOws,10334,QiRLGPEKXAy9CnsnD,True,0,2020-08-13
Celia's poster,1000,250,White,Green,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPbr09,10568,dt9NAEkoWCwzwPEdc,True,0,2020-08-13
Cesar's poster,1000,250,Beige,Orange,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlGor00,10373,e4KkHQ82KgXQTCABf,True,0,2020-08-13
Chadder's poster,1000,250,Yellow,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlMus18,10501,EASeGQP4RzhCSeruR,True,0,2020-08-13
Charlise's poster,1000,250,Green,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBea12,10778,Y84YAXuwcwTW6E58c,True,0,2020-08-13
Cheri's poster,1000,250,Red,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCbr10,10570,CYXPqX7QRipEbNadc,True,0,2020-08-13
Cherry's poster,1000,250,Red,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog17,10689,AHm3qpXemG6uwXER6,True,0,2020-08-13
Chester's poster,1000,250,White,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCbr15,10468,rx2AJ8Pyk3RCEgPYE,True,0,2020-08-13
Chevre's poster,1000,250,White,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlGoa00,10461,QE6gma6op497WQszD,True,0,2020-08-13
Chief's poster,1000,250,Orange,Beige,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlWol00,10315,pdozFdt9MCk7zkAF7,True,0,2020-08-13
Chip's poster,1000,250,Blue,Beige,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting to Photopia with an amiibo,1.0.0,PosterNpcSpBev,10345,dMPLdh2gpsxvQBynf,True,0,2020-08-13
Chops's poster,1000,250,Beige,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPig14,10414,bXDLH8xnxjJBEnsG4,True,0,2020-08-13
Chow's poster,1000,250,Pink,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBea03,10803,NE5kjZejyKSehbjE5,True,0,2020-08-13
Chrissy's poster,1000,250,Pink,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt13,10515,99G5xnagWg9EMz8Ye,True,0,2020-08-13
Cinnamoroll poster,1000,250,Light blue,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlElp11,11124,EFHuxMqC34e4se2EB,True,0,2020-08-13
Claude's poster,1000,250,Brown,Beige,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt11,10628,FooozdRN5X7cNudTB,True,0,2020-08-13
Claudia's poster,1000,250,Pink,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlTig05,10504,qFn6XSJerSuZzBZ69,True,0,2020-08-13
Clay's poster,1000,250,Brown,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHam05,10317,w2ZH8ZhMikGXAkpt3,True,0,2020-08-13
Cleo's poster,1000,250,Purple,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHrs07,10649,GRzGAf4uCmStEdeKs,True,0,2020-08-13
Clyde's poster,1000,250,Yellow,Pink,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHrs10,10680,fk9cqFYGfCkxsSHnp,True,0,2020-08-13
Coach's poster,1000,250,Yellow,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBul07,10356,4qKaNfyw4Rf3Ppg3D,True,0,2020-08-13
Cobb's poster,1000,250,Green,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPig08,10686,YqhHWLz3MD2kSXySK,True,0,2020-08-13
Coco's poster,1000,250,Beige,Brown,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt02,10379,mxYiTvmbSJvvYyBZr,True,0,2020-08-13
Cole's poster,1000,250,Black,Yellow,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlRbt18,10326,uNXPqK69E4SJAcu5H,True,0,2020-08-13
Colton's poster,1000,250,White,Colorful,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlHrs11,10452,NAj8Rbq9ZBeZno8Mf,True,0,2020-08-13
Cookie's poster,1000,250,Pink,Purple,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlDog08,10367,NjkN3PbZeCLH2bHrS,True,0,2020-08-13
