Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
analog kitchen scale,Green,,,,False,False,False,,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4,True,0,2020-08-13
analog kitchen scale,Blue,,,,False,False,False,,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4,True,0,2020-08-13
analog kitchen scale,Pink,,,,False,False,False,,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ,True,0,2020-08-13
analog kitchen scale,Ivory,,,,False,False,False,,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW,True,0,2020-08-13
analog kitchen scale,Light blue,,,,False,False,False,,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C,True,0,2020-08-13
analog kitchen scale,Black,,,,False,False,False,,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g,True,0,2020-08-13
anchovy model,,,,,False,False,False,,,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishAntyobiToy,,6999,jqs5hyDDgiozw7D6W,False,0,2020-08-13
angelfish model,,,,,False,False,False,,,9000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishAngelfishToy,,6933,c68YashL9kXvfwLp4,False,0,2020-08-13
ant farm,,,,,False,False,False,,1400,350,Green,Brown,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,child's room,None,None,False,Special Insect,False,Does not play music,No lighting,FtrInsectAriFarm,,11866,nuqhnEuJinwzRrp2z,True,0,2020-08-13
ant model,,,,,False,False,False,,,240,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectAriToy,,7053,pvyXsn72duZvP5csK,False,0,2020-08-13
anthurium plant,White,,,,False,False,False,,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,False,Plants,False,Does not play music,No lighting,FtrPlantAnthurium_Remake_0_0,0_0,3949,BfZjDAavNeyem3bFX,True,0,2020-08-13
anthurium plant,Brown,,,,False,False,False,,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,False,Plants,False,Does not play music,No lighting,FtrPlantAnthurium_Remake_1_0,1_0,3949,8r8yH5cDR9D94dWE2,True,0,2020-08-13
anthurium plant,Light blue,,,,False,False,False,,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,False,Plants,False,Does not play music,No lighting,FtrPlantAnthurium_Remake_2_0,2_0,3949,9WXR8N8LWcLgcbuTq,True,0,2020-08-13
anthurium plant,Pink,,,,False,False,False,,990,247,Pink,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,False,Plants,False,Does not play music,No lighting,FtrPlantAnthurium_Remake_3_0,3_0,3949,eRvZ8pBJ2gMbQXTTC,True,0,2020-08-13
anthurium plant,Black,,,,False,False,False,,990,247,White,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,False,Plants,False,Does not play music,No lighting,FtrPlantAnthurium_Remake_4_0,4_0,3949,X5WqEpcbqAunjxS4f,True,0,2020-08-13
arapaima model,,,,,False,False,False,,,30000,Black,Black,2x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishPirarukuToy,,7006,mYrf2qXTygc8GphQC,False,0,2020-08-13
aroma pot,White,Variation,,,True,True,False,1,,600,White,Light blue,1x1,Crafting,,1.0.0,living room,None,None,None,True,Beauty,False,Does not play music,No lighting,FtrAlomapot_Remake_0_0,0_0,1753,6AqmYqJXkqoYTfJej,False,0,2020-08-13
aroma pot,Brown,Variation,,,True,True,False,1,,600,Brown,Orange,1x1,Crafting,,1.0.0,living room,None,None,None,True,Beauty,False,Does not play music,No lighting,FtrAlomapot_Remake_1_0,1_0,1753,kv6phyzaTZRerstP4,False,0,2020-08-13
aroma pot,Green,Variation,,,True,True,False,1,,600,Green,Green,1x1,Crafting,,1.0.0,living room,None,None,None,True,Beauty,False,Does not play music,No lighting,FtrAlomapot_Remake_2_0,2_0,1753,QQLoouuttf58T3ufJ,False,0,2020-08-13
aroma pot,Pink,Variation,,,True,True,False,1,,600,Pink,Pink,1x1,Crafting,,1.0.0,living room,None,None,None,True,Beauty,False,Does not play music,No lighting,FtrAlomapot_Remake_3_0,3_0,1753,tLn4NcyuPmuHXgKn8,False,0,2020-08-13
aroma pot,Cream,Variation,,,True,True,False,1,,600,Beige,Green,1x1,Crafting,,1.0.0,living room,None,None,None,True,Beauty,False,Does not play music,No lighting,FtrAlomapot_Remake_4_0,4_0,1753,5RFavNA2iBfAcQCK4,False,0,2020-08-13
aroma pot,Black,Variation,,,True,True,False,1,,600,Black,Blue,1x1,Crafting,,1.0.0,living room,None,None,None,True,Beauty,False,Does not play music,No lighting,FtrAlomapot_Remake_5_0,5_0,1753,YZgdtQSYDiw8TTXzJ,False,0,2020-08-13
arowana model,,,,,False,False,False,,,30000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishArowanaToy,,6935,SeSQEP9r8f4ZH3ZgP,False,0,2020-08-13
Baby bear,Cream,,None,Shirt,False,False,True,1,1800,450,Beige,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_0_0,0_0,1501,g2XmJfB8pFYwRq9F6,True,0,2020-08-13
Baby bear,Cream,,Heart,Shirt,False,False,True,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_0_1,0_1,1501,SSKzzn4PKuGQwr2pL,True,0,2020-08-13
Baby bear,Cream,,Fish,Shirt,False,False,True,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_0_2,0_2,1501,36HzWPnuJQGP8dQ3J,True,0,2020-08-13
Baby bear,Cream,,Star,Shirt,False,False,True,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_0_3,0_3,1501,ejuF7sTa4N64k8AD9,True,0,2020-08-13
Baby bear,Caramel mocha,,None,Shirt,False,False,True,1,1800,450,Beige,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_1_0,1_0,1501,pkRq4pGLsBgZJs6Zz,True,0,2020-08-13
Baby bear,Caramel mocha,,Heart,Shirt,False,False,True,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_1_1,1_1,1501,vXLCKkgzYCK7KQjgp,True,0,2020-08-13
Baby bear,Caramel mocha,,Fish,Shirt,False,False,True,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_1_2,1_2,1501,GvyMQSw6Y7dAssqLE,True,0,2020-08-13
Baby bear,Caramel mocha,,Star,Shirt,False,False,True,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_1_3,1_3,1501,B85z59MD8h7M9Ctrk,True,0,2020-08-13
Baby bear,Choco,,None,Shirt,False,False,True,1,1800,450,Brown,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_2_0,2_0,1501,2T9YQNT5fZytrqrwK,True,0,2020-08-13
Baby bear,Choco,,Heart,Shirt,False,False,True,1,1800,450,Brown,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_2_1,2_1,1501,CD9XqwhPSre2zzNjX,True,0,2020-08-13
Baby bear,Choco,,Fish,Shirt,False,False,True,1,1800,450,Brown,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_2_2,2_2,1501,ZKQ8SQtNRXhQ63ANr,True,0,2020-08-13
Baby bear,Choco,,Star,Shirt,False,False,True,1,1800,450,Brown,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_2_3,2_3,1501,muwwSKJHXGAeCmPEb,True,0,2020-08-13
Baby bear,Floral,,None,Shirt,False,False,True,1,1800,450,Blue,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_3_0,3_0,1501,iC6uke9rdu6nFFZ9G,True,0,2020-08-13
Baby bear,Floral,,Heart,Shirt,False,False,True,1,1800,450,Blue,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_3_1,3_1,1501,JgZfkc4k6nyjwjv9Q,True,0,2020-08-13
Baby bear,Floral,,Fish,Shirt,False,False,True,1,1800,450,Blue,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_3_2,3_2,1501,hycjnzbvHSdCXcCSJ,True,0,2020-08-13
Baby bear,Floral,,Star,Shirt,False,False,True,1,1800,450,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_3_3,3_3,1501,mjwTqXDWN6TXNtLoR,True,0,2020-08-13
Baby bear,Checkered,,None,Shirt,False,False,True,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_4_0,4_0,1501,QJqqQh5tQR59LFLXP,True,0,2020-08-13
Baby bear,Checkered,,Heart,Shirt,False,False,True,1,1800,450,Yellow,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_4_1,4_1,1501,qBvYFruEFNxRRm4qF,True,0,2020-08-13
Baby bear,Checkered,,Fish,Shirt,False,False,True,1,1800,450,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_4_2,4_2,1501,pfbzHggDW8rLZyySF,True,0,2020-08-13
Baby bear,Checkered,,Star,Shirt,False,False,True,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_4_3,4_3,1501,5uqwwqA6dMAhQFpmm,True,0,2020-08-13
Baby bear,Tweed,,None,Shirt,False,False,True,1,1800,450,Colorful,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_5_0,5_0,1501,nPchvcMPNmZ7eDKJJ,True,0,2020-08-13
Baby bear,Tweed,,Heart,Shirt,False,False,True,1,1800,450,Colorful,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_5_1,5_1,1501,mgSKedtr9Lk4NTaWL,True,0,2020-08-13
Baby bear,Tweed,,Fish,Shirt,False,False,True,1,1800,450,Colorful,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_5_2,5_2,1501,goji34uBiXDRhjkSv,True,0,2020-08-13
Baby bear,Tweed,,Star,Shirt,False,False,True,1,1800,450,Colorful,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,False,Animal,False,Does not play music,No lighting,FtrBearS_Remake_5_3,5_3,1501,qjt78GA8vEf5xDW5W,True,0,2020-08-13
Baby panda,,,,,False,False,False,,1800,450,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,panda,False,Animal,False,Does not play music,No lighting,FtrPandaS,,9698,TrjKcMrQXJf7NCbta,True,0,2020-08-13
bagworm model,,,,,False,False,False,,,1800,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectMinomushiToy,,7082,xPShFD4zcZx389xxz,False,0,2020-08-13
ball,Basketball,,,,False,False,False,,520,130,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,True,Sports,True,Does not play music,No lighting,FtrBall_Remake_0_0,0_0,2010,kWNLESb9BwdejFzCw,True,0,2020-08-13
ball,Soccer ball,,,,False,False,False,,520,130,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,True,Sports,True,Does not play music,No lighting,FtrBall_Remake_1_0,1_0,2010,Tps4AsF9ZaDrhn2CN,True,0,2020-08-13
ball,Volleyball,,,,False,False,False,,520,130,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,True,Sports,True,Does not play music,No lighting,FtrBall_Remake_2_0,2_0,2010,6Jr79mcuZsGGPJjK8,True,0,2020-08-13
ball,Dodgeball,,,,False,False,False,,520,130,Yellow,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,True,Sports,True,Does not play music,No lighting,FtrBall_Remake_3_0,3_0,2010,7FFD7gshDsb7mmB2X,True,0,2020-08-13
bamboo candleholder,Green bamboo,Bamboo,,,True,True,False,2,,880,Green,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Lamp,False,Does not play music,Candle,FtrBambooCandle_Remake_0_0,0_0,3554,WzyJkmGQKPRk7xyv9,False,0,2020-08-13
bamboo candleholder,Dried bamboo,Bamboo,,,True,True,False,2,,880,Yellow,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Lamp,False,Does not play music,Candle,FtrBambooCandle_Remake_1_0,1_0,3554,yNHBsocxFskBwynvR,False,0,2020-08-13
bamboo candleholder,Smoke-cured bamboo,Bamboo,,,True,True,False,2,,880,Brown,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Lamp,False,Does not play music,Candle,FtrBambooCandle_Remake_2_0,2_0,3554,7xMibNQTXMWZvPWGR,False,0,2020-08-13
bamboo drum,Green bamboo,Bamboo,,,True,True,False,1,,720,Green,Pink,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Musical Instrument,False,Does not play music,No lighting,FtrBamboodrum_Remake_0_0,0_0,4093,gg3aBipuGNFEeuyQb,False,0,2020-08-13
bamboo drum,Dried bamboo,Bamboo,,,True,True,False,1,,720,Yellow,Orange,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Musical Instrument,False,Does not play music,No lighting,FtrBamboodrum_Remake_1_0,1_0,4093,Pexz4E7q8zEQMgyK6,False,0,2020-08-13
bamboo drum,Smoke-cured bamboo,Bamboo,,,True,True,False,1,,720,Brown,Light blue,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Musical Instrument,False,Does not play music,No lighting,FtrBamboodrum_Remake_2_0,2_0,4093,XAEk7jqLzW3yD58sp,False,0,2020-08-13
bamboo lunch box,Green bamboo,Bamboo,,,True,True,False,1,,640,Green,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,False,Dining,False,Does not play music,No lighting,FtrBambooLunch_Remake_0_0,0_0,5978,XTFhsR3P4ybuZhc3d,False,0,2020-08-13
bamboo lunch box,Dried bamboo,Bamboo,,,True,True,False,1,,640,Yellow,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,False,Dining,False,Does not play music,No lighting,FtrBambooLunch_Remake_1_0,1_0,5978,6AMme4wZdRJtrLuTj,False,0,2020-08-13
bamboo lunch box,Smoke-cured bamboo,Bamboo,,,True,True,False,1,,640,Brown,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,False,Dining,False,Does not play music,No lighting,FtrBambooLunch_Remake_2_0,2_0,5978,sS2JrzYMRLDbsNAxB,False,0,2020-08-13
bamboo sphere,Green bamboo,Bamboo,,,True,True,False,1,,480,Green,Blue,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,False,Toy,False,Does not play music,No lighting,FtrBambooBall_Remake_0_0,0_0,5976,MyMNc3DYkCywyNQfd,False,0,2020-08-13
bamboo sphere,Dried bamboo,Bamboo,,,True,True,False,1,,480,Yellow,Purple,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,False,Toy,False,Does not play music,No lighting,FtrBambooBall_Remake_1_0,1_0,5976,ZPTZa8nL2qZzec7Mn,False,0,2020-08-13
bamboo sphere,Smoke-cured bamboo,Bamboo,,,True,True,False,1,,480,Brown,White,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,False,Toy,False,Does not play music,No lighting,FtrBambooBall_Remake_2_0,2_0,5976,5uyxDdyRak9EPGhur,False,0,2020-08-13
bamboo-shoot lamp,,,,,True,False,False,,,4900,Brown,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,True,Lamp,False,Does not play music,Fluorescent,FtrBambooshootLamp,,5977,9j4wh3muQeG6F8Kz2,False,0,2020-08-13
barred knifejaw model,,,,,False,False,False,,,15000,White,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishIshidaiToy,,6959,T9JBnkxBRJenY33Bg,False,0,2020-08-13
barreleye model,,,,,False,False,False,,,45000,Black,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishDemenigisuToy,,6943,3Gucpfk3GP7mTsQtJ,False,0,2020-08-13
beach ball,Colorful,,,,False,False,False,,430,107,Colorful,Colorful,1x1,Nook's Cranny,Available in all tiers of shops; including Timmy & Tommy before the shop is opened,1.0.0,ocean,None,None,None,True,Seaside,True,Does not play music,No lighting,FtrBeachball_Remake_0_0,0_0,9584,hduZB4RhQNp75i9W9,True,0,2020-08-13
beach ball,Blue,,,,False,False,False,,430,107,Blue,White,1x1,Nook's Cranny,Available in all tiers of shops; including Timmy & Tommy before the shop is opened,1.0.0,ocean,None,None,None,True,Seaside,True,Does not play music,No lighting,FtrBeachball_Remake_1_0,1_0,9584,S76AqteAK5wCK3EaK,True,0,2020-08-13
beach ball,Red,,,,False,False,False,,430,107,Red,White,1x1,Nook's Cranny,Available in all tiers of shops; including Timmy & Tommy before the shop is opened,1.0.0,ocean,None,None,None,True,Seaside,True,Does not play music,No lighting,FtrBeachball_Remake_2_0,2_0,9584,AAmKMRwJtXLZ7Q5gY,True,0,2020-08-13
