Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
camo umbrella,False,650,162,Green,Beige,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaOutdoor0,6923,RJYB5itM7mDdtWHpv,True,0,2020-08-13
candy umbrella,False,770,192,Pink,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham0,6926,F6KFg5Yhzgf78pudR,True,0,2020-08-13
cherry umbrella,True,,1400,Red,Red,1x1,,Crafting,,1.0.0,True,UmbrellaCherry0,9949,YwHY3LQXsDeM2iosy,False,0,2020-08-13
cherry-blossom umbrella,True,,2800,Pink,Green,1x1,,Crafting,,1.0.0,True,UmbrellaCherryblossom0,9945,vTu5kLPipRb69vJA3,False,0,2020-08-13
DAL umbrella,False,,1010,Blue,Blue,1x1,,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,True,UmbrellaDoc0,9560,vTdEjywjFjr8AkePD,False,0,2020-08-13
eggy parasol,False,750,187,Yellow,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPolkadot1,9955,qf7Hn5CKMDMBpge9r,True,0,2020-08-13
exquisite parasol,False,1670,417,Yellow,Pink,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaChina0,7171,tFFuizXunsrHcMbEj,True,0,2020-08-13
fairy-tale umbrella,False,820,205,Green,Yellow,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaFairytale0,7175,xKBGNFJd2qpWeDWjo,True,0,2020-08-13
fish umbrella,False,,80,Blue,Light blue,1x1,,Fishing Tourney,,1.0.0,True,UmbrellaFish0,8768,bvwaqJav8wmjPj2RC,False,0,2020-08-13
frog umbrella,False,1570,392,Green,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaFrog0,6925,nDBiFvLtf5KeStQNv,True,0,2020-08-13
gelato umbrella,False,750,187,Colorful,Colorful,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaTricolor0,7180,tupHZa6zDdFvobTEt,True,0,2020-08-13
ghost umbrella,False,1670,417,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaTeruteru0,6924,83zEbSL3S3dty4YjN,True,0,2020-08-13
grape umbrella,False,1550,387,Purple,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaGrape0,6911,TJ9cw4XSj64u3uEsx,True,0,2020-08-13
green chic umbrella,False,1620,405,Green,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace4,12136,u2YWae8oz23XcT4u9,True,0,2020-08-13
green umbrella,False,770,192,Green,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStandard3,9960,8Hf4oRy3cQdundDJK,True,0,2020-08-13
hydrangea umbrella,False,750,187,Light blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaHydrangea0,6906,dmFbrs5ALCJG4KpzB,True,0,2020-08-13
kabuki umbrella,False,1670,417,Purple,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaKabuki0,7177,QenZWqPCSZr9ZCrRh,True,0,2020-08-13
kiwi umbrella,False,1550,387,Green,Brown,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaKiwi0,6908,R9WBMjgoqLwiR3h76,True,0,2020-08-13
lacy parasol,False,1550,387,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaLace0,9946,8ND7Jkfb2fxLJaR7n,True,0,2020-08-13
ladybug umbrella,False,,80,Red,Black,1x1,,Bug-Off,,1.0.0,True,UmbrellaLadybug0,8767,rHNt3mx5hEEDRSRiD,False,0,2020-08-13
leaf umbrella,True,,300,Green,Green,1x1,,Crafting,,1.0.0,True,UmbrellaLeaf0,6840,ZpYcNAofgCtnPfLj5,False,0,2020-08-13
lemon umbrella,False,770,192,Yellow,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham4,9954,yKb3LfnWDwptRPAWK,True,0,2020-08-13
logo umbrella,False,650,162,Blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaLogo0,7172,sFtYCcv9wy78ujaZr,True,0,2020-08-13
maple-leaf umbrella,True,,2800,Orange,Orange,1x1,,Crafting,,1.0.0,True,UmbrellaAutumn0,7169,b5gL4xdKJPZPjhYZM,False,0,2020-08-13
melon umbrella,False,770,192,Green,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham1,9951,oFFjNfN2G5BxasAem,True,0,2020-08-13
mini-flower-print umbrella,False,750,187,Pink,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaFlorets0,6914,G9dRhHQxBzYJB5mmE,True,0,2020-08-13
mint umbrella,False,770,192,Brown,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham2,9952,F6fPRcpqGqhQ5oq7F,True,0,2020-08-13
mush umbrella,True,,1200,Brown,Beige,1x1,,Crafting,,1.0.0,True,UmbrellaMushroom0,7174,LLSQNPiMBWXXdTYFo,False,0,2020-08-13
Nook Inc. umbrella,False,,3500,Green,White,1x1,700,Nook Miles Shop,,1.0.0,True,UmbrellaRco0,9561,GX9s8tDymkHYHztY3,False,0,2020-08-13
orange umbrella,True,,1400,Orange,Yellow,1x1,,Crafting,,1.0.0,True,UmbrellaOrange0,6912,ovb5ZxHTXJtBWQQxF,False,0,2020-08-13
panda umbrella,False,1570,392,White,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPanda0,7170,AJkrWywbkBfFpke5b,True,0,2020-08-13
paper parasol,False,870,217,Brown,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBangasa0,7178,Brvfu2wmEsgfpsfe6,True,0,2020-08-13
patterned vinyl umbrella,False,750,187,White,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBoundary0,6918,KzFYhiwG4WmgGuewi,True,0,2020-08-13
peach umbrella,True,,1400,Pink,Green,1x1,,Crafting,,1.0.0,True,UmbrellaPeach0,9947,e7KPGj99m2g9dvYfe,False,0,2020-08-13
pear umbrella,True,,1400,Yellow,Green,1x1,,Crafting,,1.0.0,True,UmbrellaPear0,9950,2kKFs5wG5ioHGbGda,False,0,2020-08-13
petal parasol,False,1590,397,White,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaMargaret0,7181,5qqATjxvMpMHmcDns,True,0,2020-08-13
picnic umbrella,False,770,192,Purple,Pink,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham3,9953,hvv9Bz2ey3iRvSnAL,True,0,2020-08-13
pineapple umbrella,False,1550,387,Yellow,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPineapple0,6910,ohMyh5kSBGg8Zayyh,True,0,2020-08-13
pink shiny-bows parasol,False,1620,405,Pink,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace0,7176,PTvmPPNiXMZ4jhBKX,True,0,2020-08-13
pink umbrella,False,770,192,Pink,Pink,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaSchool0,7164,Cg8DXnxz3AtYJvdPE,True,0,2020-08-13
purple chic umbrella,False,1620,405,Purple,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacoda0,7183,2dXt6F6XwMf346Zbv,True,0,2020-08-13
purple shiny-bows parasol,False,1620,405,Purple,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace1,12133,J6FrqXxBPqGNBs4sC,True,0,2020-08-13
rainbow umbrella,False,840,210,Colorful,Colorful,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaRainbow0,7179,P9bMZJY3n2dtooq5X,True,0,2020-08-13
raindrop umbrella,False,750,187,Yellow,Light blue,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaRain0,6913,Djdj6KiSLh82BHzqB,True,0,2020-08-13
red chic umbrella,False,1620,405,Red,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace6,12138,kKoJtAcxMDNKq7tNu,True,0,2020-08-13
red umbrella,False,770,192,Red,Red,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStandard1,9958,Z9yCA3wawXdQsbLSs,True,0,2020-08-13
snowflake umbrella,False,1550,387,Light blue,Light blue,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaCrystal0,6905,r5RwHucDKWJPg7dkv,True,0,2020-08-13
spider umbrella,False,840,210,Black,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaSpider0,7173,aaQhimbednGniK4NF,True,0,2020-08-13
strawberry umbrella,False,1550,387,Pink,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaStrawberry0,6907,kKQHooYToACDqoqBm,True,0,2020-08-13
striped umbrella,False,750,187,Gray,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStripe0,6916,hF2THDnHbEJWTDT8L,True,0,2020-08-13
sunny parasol,False,750,187,Yellow,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaSunflower0,6904,thr45xserbQqAm6o4,True,0,2020-08-13
tartan-check umbrella,False,750,187,Red,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPlaid0,6917,HjZzRQKbMdXBKYawe,True,0,2020-08-13
Toad parasol,False,750,187,Red,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPolkadotRed,5861,HnmPeaovKNwg7ZuBL,True,0,2020-08-13
two-tone umbrella,False,770,192,Red,Yellow,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaTwocolor0,7166,Da4xWXq9D2RFLnyYj,True,0,2020-08-13
vinyl umbrella,False,770,192,White,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaVinyl0,7165,q4Eo8vxPLFCL4ppac,True,0,2020-08-13
watermelon umbrella,False,1550,387,Red,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaWater0,6909,JTchAPvto4vHBJANw,True,0,2020-08-13
white shiny-bows parasol,False,1620,405,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace3,12135,4btSNLBHRoocAXfgE,True,0,2020-08-13
